"mom","site","nest","fert.start","fert.end","active.start","active.end","attempt","ci","BarnNest","dad","matID"
"2850-57746","CHR",74,2022-05-23,2022-06-01,2022-05-23,2022-07-13,1,2022-05-30,"CHR-74","2850-57582","CHR-74_2850-57746_2850-57582_1"
"2850-57749","Cooks",13,2022-06-27,2022-07-06,2022-06-27,2022-08-07,1,2022-07-04,"Cooks-13","2850-57675","Cooks-13_2850-57749_2850-57675_1"
"2850-57753","McCauley",4,2022-07-13,2022-07-23,2022-07-13,2022-08-24,1,2022-07-20,"McCauley-4","2850-57752","McCauley-4_2850-57753_2850-57752_1"
"2850-57846","CHR",110,2022-05-14,2022-05-23,2022-05-14,2022-06-28,1,2022-05-21,"CHR-110","2850-57742","CHR-110_2850-57846_2850-57742_1"
"2850-57853","Cooks",29,2022-05-06,2022-05-16,2022-05-06,2022-06-24,1,2022-05-13,"Cooks-29","2850-57638","Cooks-29_2850-57853_2850-57638_1"
"2850-57869","Blue Cloud",4,2022-05-15,2022-05-22,2022-05-15,2022-06-28,1,2022-05-22,"Blue Cloud-4","2850-57659","Blue Cloud-4_2850-57869_2850-57659_1"
"2850-57870","Blue Cloud",19,2022-05-14,2022-05-22,2022-05-14,2022-06-14,1,2022-05-21,"Blue Cloud-19","2850-57565","Blue Cloud-19_2850-57870_2850-57565_1"
"2850-57871","Blue Cloud",22,2022-05-08,2022-05-16,2022-05-08,2022-06-19,1,2022-05-15,"Blue Cloud-22","2850-57614","Blue Cloud-22_2850-57871_2850-57614_1"
"2850-57872","Make Believe",26,2022-05-23,2022-06-01,2022-05-23,2022-07-11,1,2022-05-30,"Make Believe-26","2850-57873","Make Believe-26_2850-57872_2850-57873_1"
"2850-57874","Make Believe",8,2022-05-24,2022-06-02,2022-05-24,2022-07-08,1,2022-05-31,"Make Believe-8","2850-57875","Make Believe-8_2850-57874_2850-57875_1"
"2850-57876","Make Believe",62,2022-06-03,2022-06-12,2022-06-03,2022-07-06,1,2022-06-10,"Make Believe-62","2850-57680","Make Believe-62_2850-57876_2850-57680_1"
"2850-57878","Make Believe",13,2022-06-07,2022-06-17,2022-06-07,2022-07-19,1,2022-06-14,"Make Believe-13","2850-57877","Make Believe-13_2850-57878_2850-57877_1"
"2850-57879","CHR",112,2022-05-29,2022-06-08,2022-05-29,2022-07-21,1,2022-06-05,"CHR-112","2850-57647","CHR-112_2850-57879_2850-57647_1"
"2850-57883","CHR",99,2022-05-30,2022-06-09,2022-05-30,2022-07-18,1,2022-06-06,"CHR-99","2850-57578","CHR-99_2850-57883_2850-57578_1"
"2850-57885","Blue Cloud",26,2022-06-07,2022-06-16,2022-06-07,2022-07-01,1,2022-06-14,"Blue Cloud-26","2870-64905","Blue Cloud-26_2850-57885_2870-64905_1"
"2850-57886","Blue Cloud",27,2022-06-16,2022-06-25,2022-06-16,2022-07-27,1,2022-06-23,"Blue Cloud-27","unb-BC-27","Blue Cloud-27_2850-57886_unb-BC-27_1"
"2870-64908","CHR",11,2022-06-18,2022-06-27,2022-06-18,2022-08-02,1,2022-06-25,"CHR-11","2850-57733","CHR-11_2870-64908_2850-57733_1"
"2870-64909","CHR",148,2022-07-23,2022-08-02,2022-07-23,2022-09-03,1,2022-07-30,"CHR-148","2850-57582","CHR-148_2870-64909_2850-57582_1"
"2870-65003","CHR",128,2022-06-03,2022-06-12,2022-06-03,2022-07-21,1,2022-06-10,"CHR-128","2850-57577","CHR-128_2870-65003_2850-57577_1"
