"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest_ind1","Brood_ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest_ind2","Brood_ind2","clutch_id_ind2"
"CO_34131","CO_83040",0.995,0.005,0,0.003,61993,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83040","Struthers","kid","Struthers-20",10,"2","Struthers_10_2"
"CO_34131","CO_83038",0.993,0.007,0,0.003,58505,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83038","Struthers","kid","Struthers-20",10,"2","Struthers_10_2"
"CO_34131","CO_83039",0.994,0.006,0,0.003,57660,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83039","Struthers","kid","Struthers-20",10,"2","Struthers_10_2"
"CO_34131","CO_83042",0.993,0.006,0,0.004,61300,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83042","Make Believe","kid","MakeBelieve-20",73,"2","Make Believe_73_2"
"CO_34131","CO_83046",0.989,0.009,0.002,0.007,61728,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83046","Schaaps","kid","Schaaps-80",80,"2","Schaaps_80_2"
"CO_34131","CO_83043",0.992,0.007,0.001,0.005,61727,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83043","Make Believe","kid","MakeBelieve-20",73,"2","Make Believe_73_2"
"CO_34131","CO_83041",0.994,0.006,0,0.003,57673,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83041","Make Believe","kid","MakeBelieve-20",73,"2","Make Believe_73_2"
"CO_34131","CO_83045",0.99,0.01,0,0.005,57037,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83045","Schaaps","kid","Schaaps-80",80,"2","Schaaps_80_2"
"CO_34131","CO_83044",0.989,0.011,0,0.006,60903,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83044","Schaaps","kid","Schaaps-80",80,"2","Schaaps_80_2"
"CO_34131","CO_83210",0.99,0.01,0,0.005,58932,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83210","Struthers","kid","Struthers-20",20,"1","Struthers_20_1"
"CO_34131","CO_83211",0.994,0.005,0,0.003,60396,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83211","Struthers","kid","Struthers-20",20,"1","Struthers_20_1"
"CO_34131","CO_83212",0.995,0.005,0,0.003,63487,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83212","Struthers","kid","Struthers-20",20,"1","Struthers_20_1"
"CO_34131","CO_83209",0.284,0.425,0.291,0.504,63554,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83209","Make Believe","kid","MakeBelieve-26",34,"1","Make Believe_34_1"
"CO_34131","CO_83206",0.761,0.18,0.059,0.149,64461,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83206","Make Believe","kid","MakeBelieve-26",34,"1","Make Believe_34_1"
"CO_34131","CO_83213",0.991,0.009,0,0.005,56231,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83213","Struthers","kid","Struthers-20",20,"1","Struthers_20_1"
"CO_34131","CO_83214",0.991,0.009,0,0.005,58183,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83214","Cooks","kid","Cooks-27",29,"2","Cooks_29_2"
"CO_34131","CO_83216",0.989,0.011,0,0.006,58613,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83216","Cooks","kid","Cooks-27",29,"2","Cooks_29_2"
