"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest_ind1","Brood_ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest_ind2","Brood_ind2","clutch_id_ind2"
"CO_57555","CO_E80",0.291,0.605,0.104,0.406,66317,"2850-57555","Reinarz","mom","Reinarz-01",NA,NA,NA,"E80","Reinarz","egg","Reinarz-01",1,"collected","Reinarz-01_collected"
"CO_57556","CO_83046",0.251,0.665,0.083,0.416,65767,"2850-57556","Schaaps","mom","Schaaps-80",NA,NA,NA,"2811-83046","Schaaps","kid","Schaaps-80",80,"2","Schaaps_80_2"
"CO_57556","CO_83045",0.27,0.627,0.104,0.417,60772,"2850-57556","Schaaps","mom","Schaaps-80",NA,NA,NA,"2811-83045","Schaaps","kid","Schaaps-80",80,"2","Schaaps_80_2"
"CO_57556","CO_83044",0.273,0.629,0.098,0.413,64913,"2850-57556","Schaaps","mom","Schaaps-80",NA,NA,NA,"2811-83044","Schaaps","kid","Schaaps-80",80,"2","Schaaps_80_2"
"CO_57556","CO_E39",0.342,0.549,0.109,0.384,58709,"2850-57556","Schaaps","mom","Schaaps-80",NA,NA,NA,"E39","Schaaps","egg","Schaaps-80",80,"collected","Schaaps-80_collected"
"CO_57556","CO_E42",0.313,0.59,0.096,0.391,60495,"2850-57556","Schaaps","mom","Schaaps-80",NA,NA,NA,"E42","Schaaps","egg","Schaaps-80",80,"collected","Schaaps-80_collected"
"CO_57556","CO_E38",0.311,0.59,0.099,0.394,64120,"2850-57556","Schaaps","mom","Schaaps-80",NA,NA,NA,"E38","Schaaps","egg","Schaaps-80",80,"collected","Schaaps-80_collected"
"CO_57556","CO_E40",0.311,0.581,0.109,0.399,62240,"2850-57556","Schaaps","mom","Schaaps-80",NA,NA,NA,"E40","Schaaps","egg","Schaaps-80",80,"collected","Schaaps-80_collected"
"CO_57556","CO_E41",0.306,0.592,0.103,0.398,62457,"2850-57556","Schaaps","mom","Schaaps-80",NA,NA,NA,"E41","Schaaps","egg","Schaaps-80",80,"collected","Schaaps-80_collected"
"CO_57558","CO_82978",0.387,0.429,0.184,0.398,55874,"2850-57558","Cooks","mom","Cooks-31",NA,NA,NA,"2811-82978","Hepp (near Cook)","kid","Cooks-31",1,"1","Hepp (near Cook)_1_1"
