"dist","near_rank","BarnName_1","BarnName_2"
4311.97557,30,"Struthers back shed","Urban Farm Girls Chicken coop"
4679.056156,31,"Struthers back shed","Karens est"
5004.588626,32,"Struthers back shed","CHR"
5898.266902,33,"Struthers back shed","Schaaps"
5959.217161,34,"Struthers back shed","Ericas"
6133.008427,35,"Struthers back shed","Grizz est"
7022.663839,36,"Struthers back shed","James Ditch est"
8649.911476,37,"Struthers back shed","Cargill est"
9005.239589,38,"Struthers back shed","Cooks"
9055.746034,39,"Struthers back shed","Hepp awning"
9346.683199,40,"Struthers back shed","Reinarz Garage est"
9380.059998,41,"Struthers back shed","Reinarz shed est"
9496.978871,42,"Struthers back shed","Alishas est"
9943.93692,43,"Struthers back shed","Sol y Sombra est"
16.34208163,1,"Make Believe Shed","Make Believe"
3143.86546,2,"Make Believe Shed","Jays est"
3153.762085,3,"Make Believe Shed","Mary Anns est"
3351.501,4,"Make Believe Shed","Cathys est"
3375.261894,5,"Make Believe Shed","Struthers main"
3379.875891,6,"Make Believe Shed","Cathys trailer est"
3383.274905,7,"Make Believe Shed","Struthers back shed"
3411.440862,8,"Make Believe Shed","Struthers round"
3491.628871,9,"Make Believe Shed","Speedwell est"
3495.789748,10,"Make Believe Shed","Green Mill est"
3509.626078,11,"Make Believe Shed","Nixon est"
3824.134193,12,"Make Believe Shed","Blue Cloud wash room"
3901.416272,13,"Make Believe Shed","Blue Cloud Middle Shed"
3916.023656,14,"Make Believe Shed","Blue Cloud pony shed"
3932.274332,15,"Make Believe Shed","Blue Cloud Gazebo"
3968.405502,16,"Make Believe Shed","Blue Cloud main"
4002.975228,17,"Make Believe Shed","Jims Green Barn est"
4115.922083,18,"Make Believe Shed","Red Wagon porch est"
4236.162737,19,"Make Believe Shed","Boyer"
4534.198002,20,"Make Believe Shed","Mayas est"
4593.359968,21,"Make Believe Shed","McCauley est"
4661.522764,22,"Make Believe Shed","Quick est"
4851.185476,23,"Make Believe Shed","Martes est"
4880.581633,24,"Make Believe Shed","Starlight est"
4927.528666,25,"Make Believe Shed","Karens est"
4939.785049,26,"Make Believe Shed","CHR"
5278.998976,27,"Make Believe Shed","Plumbumpy est"
5608.397375,28,"Make Believe Shed","Dome House est"
5785.609859,29,"Make Believe Shed","Urban Farm Girlz Sheep Shed"
5805.918087,30,"Make Believe Shed","Urban Farm Girlz Red Barn"
5868.100353,31,"Make Believe Shed","Urban Farm Girls Chicken coop"
6154.548927,32,"Make Believe Shed","James Ditch est"
6303.818377,33,"Make Believe Shed","Ericas"
7334.731466,34,"Make Believe Shed","Brown Barn est"
8052.153601,35,"Make Believe Shed","Reinarz Garage est"
8072.75597,36,"Make Believe Shed","Alishas est"
8077.228061,37,"Make Believe Shed","Reinarz shed est"
8148.946634,38,"Make Believe Shed","Cooks"
8407.452049,39,"Make Believe Shed","Hepp awning"
8792.054605,40,"Make Believe Shed","Sol y Sombra est"
8960.266356,41,"Make Believe Shed","Cargill est"
8980.360381,42,"Make Believe Shed","Schaaps"
9532.005891,43,"Make Believe Shed","Grizz est"
