"dist","near_rank","BarnName_1","BarnName_2"
8340.106515,32,"Urban Farm Girlz Sheep Shed","Mayas est"
8892.586888,33,"Urban Farm Girlz Sheep Shed","Karens est"
9185.52607,34,"Urban Farm Girlz Sheep Shed","CHR"
10193.59018,35,"Urban Farm Girlz Sheep Shed","Ericas"
11089.55595,36,"Urban Farm Girlz Sheep Shed","James Ditch est"
12884.12248,37,"Urban Farm Girlz Sheep Shed","Cargill est"
13112.56561,38,"Urban Farm Girlz Sheep Shed","Cooks"
13212.09047,39,"Urban Farm Girlz Sheep Shed","Hepp awning"
13323.34812,40,"Urban Farm Girlz Sheep Shed","Reinarz Garage est"
13354.17847,41,"Urban Farm Girlz Sheep Shed","Reinarz shed est"
13425.92039,42,"Urban Farm Girlz Sheep Shed","Alishas est"
13978.54564,43,"Urban Farm Girlz Sheep Shed","Sol y Sombra est"
31.72741803,1,"Urban Farm Girlz Red Barn","Urban Farm Girlz Sheep Shed"
44.5368353,2,"Urban Farm Girlz Red Barn","Urban Farm Girls Chicken coop"
188.8267807,3,"Urban Farm Girlz Red Barn","Dome House est"
956.158553,4,"Urban Farm Girlz Red Barn","Martes est"
1151.306602,5,"Urban Farm Girlz Red Barn","Plumbumpy est"
1543.345486,6,"Urban Farm Girlz Red Barn","Quick est"
1553.622187,7,"Urban Farm Girlz Red Barn","Boyer"
2297.37905,8,"Urban Farm Girlz Red Barn","Red Wagon porch est"
2720.939974,9,"Urban Farm Girlz Red Barn","Cathys trailer est"
2738.939865,10,"Urban Farm Girlz Red Barn","Cathys est"
2908.435718,11,"Urban Farm Girlz Red Barn","Mary Anns est"
3210.005678,12,"Urban Farm Girlz Red Barn","Speedwell est"
4163.427802,13,"Urban Farm Girlz Red Barn","Brown Barn est"
4193.248708,14,"Urban Farm Girlz Red Barn","Struthers round"
4239.054456,15,"Urban Farm Girlz Red Barn","Struthers main"
4270.106524,16,"Urban Farm Girlz Red Barn","Struthers back shed"
4532.830932,17,"Urban Farm Girlz Red Barn","Green Mill est"
4602.822467,18,"Urban Farm Girlz Red Barn","Schaaps"
4717.748442,19,"Urban Farm Girlz Red Barn","Jays est"
5294.245582,20,"Urban Farm Girlz Red Barn","Nixon est"
5399.769922,21,"Urban Farm Girlz Red Barn","Blue Cloud Gazebo"
5405.816766,22,"Urban Farm Girlz Red Barn","Blue Cloud Middle Shed"
