"Ind2","genetic_fam","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest_ind2","Brood_ind2","clutch_id_ind2","k0_hat_dad","k1_hat_dad","k2_hat_dad","pi_HAT_dad","nbSNP_dad","Band_dad","Site_dad","Type_dad","FamilyID_dad","k0_hat_mom","k1_hat_mom","k2_hat_mom","pi_HAT_mom","nbSNP_mom","Band_mom","Site_mom","Type_mom","FamilyID_mom","site_cat"
"CO_E71","2850-57607_2850-57553","E71","Schaaps","egg","Schaaps-108",108,"collected","Schaaps-108_collected",0.281,0.602,0.117,0.418,65498,"2850-57607","Schaaps","dad","Schaaps-108",0.315,0.568,0.118,0.401,59463,"2850-57553","Schaaps","mom","Schaaps-108","medium"
"CO_E74","2850-57607_2850-57553","E74","Schaaps","egg","Schaaps-108",108,"collected","Schaaps-108_collected",0.239,0.684,0.077,0.419,70443,"2850-57607","Schaaps","dad","Schaaps-108",0.296,0.582,0.122,0.413,63951,"2850-57553","Schaaps","mom","Schaaps-108","medium"
"CO_E72","2850-57607_2850-57553","E72","Schaaps","egg","Schaaps-108",108,"collected","Schaaps-108_collected",0.28,0.614,0.106,0.413,60245,"2850-57607","Schaaps","dad","Schaaps-108",0.313,0.562,0.125,0.406,54678,"2850-57553","Schaaps","mom","Schaaps-108","medium"
"CO_E73","2850-57607_2850-57553","E73","Schaaps","egg","Schaaps-108",108,"collected","Schaaps-108_collected",0.3,0.589,0.112,0.406,60276,"2850-57607","Schaaps","dad","Schaaps-108",0.329,0.522,0.149,0.41,54713,"2850-57553","Schaaps","mom","Schaaps-108","medium"
"CO_E83","2850-57619_2850-57555","E83","Reinarz","egg","Reinarz-01",1,"collected","Reinarz-01_collected",0.33,0.55,0.12,0.395,58726,"2850-57619","Reinarz","dad","Reinarz-01",0.318,0.552,0.131,0.406,57451,"2850-57555","Reinarz","mom","Reinarz-01","small"
"CO_E84","2850-57619_2850-57555","E84","Reinarz","egg","Reinarz-01",1,"collected","Reinarz-01_collected",0.295,0.567,0.139,0.422,60046,"2850-57619","Reinarz","dad","Reinarz-01",0.324,0.557,0.119,0.398,58861,"2850-57555","Reinarz","mom","Reinarz-01","small"
"CO_E82","2850-57619_2850-57555","E82","Reinarz","egg","Reinarz-01",1,"collected","Reinarz-01_collected",0.339,0.522,0.139,0.4,61822,"2850-57619","Reinarz","dad","Reinarz-01",0.327,0.54,0.132,0.403,60684,"2850-57555","Reinarz","mom","Reinarz-01","small"
"CO_E81","2850-57619_2850-57555","E81","Reinarz","egg","Reinarz-01",1,"collected","Reinarz-01_collected",0.325,0.557,0.118,0.397,60411,"2850-57619","Reinarz","dad","Reinarz-01",0.332,0.514,0.154,0.411,59316,"2850-57555","Reinarz","mom","Reinarz-01","small"
"CO_E80","2850-57619_2850-57555","E80","Reinarz","egg","Reinarz-01",1,"collected","Reinarz-01_collected",0.301,0.594,0.105,0.402,67563,"2850-57619","Reinarz","dad","Reinarz-01",0.291,0.605,0.104,0.406,66317,"2850-57555","Reinarz","mom","Reinarz-01","small"
"CO_E39","2850-57701_2850-57556","E39","Schaaps","egg","Schaaps-80",80,"collected","Schaaps-80_collected",0.381,0.463,0.155,0.387,50536,"2850-57701","Schaaps","dad","Schaaps-110",0.342,0.549,0.109,0.384,58709,"2850-57556","Schaaps","mom","Schaaps-80","medium"
"CO_E42","2850-57701_2850-57556","E42","Schaaps","egg","Schaaps-80",80,"collected","Schaaps-80_collected",0.402,0.429,0.17,0.384,52130,"2850-57701","Schaaps","dad","Schaaps-110",0.313,0.59,0.096,0.391,60495,"2850-57556","Schaaps","mom","Schaaps-80","medium"
"CO_E38","2850-57701_2850-57556","E38","Schaaps","egg","Schaaps-80",80,"collected","Schaaps-80_collected",0.377,0.468,0.155,0.389,55239,"2850-57701","Schaaps","dad","Schaaps-110",0.311,0.59,0.099,0.394,64120,"2850-57556","Schaaps","mom","Schaaps-80","medium"
"CO_E40","2850-57701_2850-57556","E40","Schaaps","egg","Schaaps-80",80,"collected","Schaaps-80_collected",0.4,0.437,0.163,0.382,53718,"2850-57701","Schaaps","dad","Schaaps-110",0.311,0.581,0.109,0.399,62240,"2850-57556","Schaaps","mom","Schaaps-80","medium"
"CO_E41","2850-57701_2850-57556","E41","Schaaps","egg","Schaaps-80",80,"collected","Schaaps-80_collected",0.403,0.446,0.152,0.375,53774,"2850-57701","Schaaps","dad","Schaaps-110",0.306,0.592,0.103,0.398,62457,"2850-57556","Schaaps","mom","Schaaps-80","medium"
"CO_E60","2850-57633_2850-57558","E60","Cooks","egg","Cooks-31",31,"collected","Cooks-31_collected",0.339,0.491,0.17,0.415,56494,"2850-57633","Cooks","dad","Cooks-31",0.34,0.516,0.144,0.402,57204,"2850-57558","Cooks","mom","Cooks-31","medium"
"CO_E61","2850-57633_2850-57558","E61","Cooks","egg","Cooks-31",31,"collected","Cooks-31_collected",0.303,0.541,0.155,0.426,54312,"2850-57633","Cooks","dad","Cooks-31",0.374,0.465,0.161,0.394,54788,"2850-57558","Cooks","mom","Cooks-31","medium"
"CO_E64","2850-57633_2850-57558","E64","Cooks","egg","Cooks-31",31,"collected","Cooks-31_collected",0.241,0.668,0.091,0.425,59549,"2850-57633","Cooks","dad","Cooks-31",0.276,0.61,0.114,0.419,60391,"2850-57558","Cooks","mom","Cooks-31","medium"
"CO_E48","2850-57565_2850-57610","E48","Blue Cloud","egg","BlueCloud-14",14,"collected","BlueCloud-14_collected",0.302,0.572,0.126,0.412,61863,"2850-57565","Blue Cloud","dad","BlueCloud-19",0.381,0.439,0.18,0.4,45780,"2850-57610","Blue Cloud","mom","BlueCloud-14","medium"
"CO_E50","2850-57565_2850-57610","E50","Blue Cloud","egg","BlueCloud-14",14,"collected","BlueCloud-14_collected",0.335,0.503,0.162,0.413,55407,"2850-57565","Blue Cloud","dad","BlueCloud-19",0.413,0.395,0.192,0.389,41024,"2850-57610","Blue Cloud","mom","BlueCloud-14","medium"
"CO_E49","2850-57565_2850-57610","E49","Blue Cloud","egg","BlueCloud-14",14,"collected","BlueCloud-14_collected",0.326,0.538,0.136,0.405,62372,"2850-57565","Blue Cloud","dad","BlueCloud-19",0.394,0.411,0.195,0.401,46171,"2850-57610","Blue Cloud","mom","BlueCloud-14","medium"
