Year,Band,Site,Sex,Type,FamilyID,Nest._1,Tissue,Seq.ID,Nest..,Brood..,clutch_id
2022,2811-83441,CHR,,kid,CHR-099,99,blood,CO-83441,99,2,CHR_99_2
2022,2811-83442,CHR,,kid,CHR-099,99,blood,CO-83442,99,2,CHR_99_2
2022,2850-57578,CHR,M,dad,CHR-099,99,blood,CO-57578,NA,NA,NA
2022,2850-57883,CHR,F,mom,CHR-099,99,blood,CO-57883,NA,NA,NA
2022,2640-97589,CHR,M,dad,CHR-102,102,blood,CO-97589,NA,NA,NA
2022,2811-38984,CHR,F,mom,CHR-102,102,blood,CO-38984,NA,NA,NA
2022,2811-83081,CHR,,kid,CHR-102,102,blood,CO-83081,102,1,CHR_102_1
2022,2811-83082,CHR,,kid,CHR-102,102,blood,CO-83082,102,1,CHR_102_1
2022,2811-83083,CHR,,kid,CHR-102,102,blood,CO-83083,102,1,CHR_102_1
2022,2881-34075,CHR,,kid,CHR-102,102.2,blood,CO-34075,102.2,2,CHR_102.2_2
2022,2881-34076,CHR,,kid,CHR-102,102.2,blood,CO-34076,102.2,2,CHR_102.2_2
2022,2881-34077,CHR,,kid,CHR-102,102.2,blood,CO-34077,102.2,2,CHR_102.2_2
2022,2881-34078,CHR,,kid,CHR-102,102.2,blood,CO-34078,102.2,2,CHR_102.2_2
2022,2811-83228,CHR,,kid,CHR-110,110,blood,CO-83228,110,1,CHR_110_1
2022,2811-83229,CHR,,kid,CHR-110,110,blood,CO-83229,110,1,CHR_110_1
2022,2811-83230,CHR,,kid,CHR-110,110,blood,CO-83230,110,1,CHR_110_1
2022,2811-83231,CHR,,kid,CHR-110,110,blood,CO-83231,110,1,CHR_110_1
2022,2850-57742,CHR,M,dad,CHR-110,110,blood,CO-57742,NA,NA,NA
2022,2850-57846,CHR,F,mom,CHR-110,110,blood,CO-57846,NA,NA,NA
2022,2881-34091,CHR,,kid,CHR-110,52,blood,CO-34091,52,2,CHR_52_2
2022,2881-34093,CHR,,kid,CHR-110,52,blood,CO-34093,52,2,CHR_52_2
2022,2811-83300,CHR,,kid,CHR-112,112,blood,CO-83300,112,1,CHR_112_1
2022,2811-83413,CHR,,kid,CHR-112,112,blood,CO-83413,112,1,CHR_112_1
2022,2811-83414,CHR,,kid,CHR-112,112,blood,CO-83414,112,1,CHR_112_1
2022,2811-83415,CHR,,kid,CHR-112,112,blood,CO-83415,112,1,CHR_112_1
2022,2811-83443,CHR,,kid,CHR-112,112.2,blood,CO-83443,112.2,2,CHR_112.2_2
2022,2811-83444,CHR,,kid,CHR-112,112.2,blood,CO-83444,112.2,2,CHR_112.2_2
