"location1","location2","mom1","dad2","attempt1","attempt2","rest.SI","pairwise"
"CHR-102","CHR-97","2811-38984","2850-57589","1","1",0.229032258064516,"2811-38984_2850-57589"
"CHR-102","CHR-7","2811-38984","unb-CHR-7and9","1","1",0.229032258064516,"2811-38984_unb-CHR-7and9"
"CHR-102","CHR-4","2811-38984","2811-83208","1","1",0.229032258064516,"2811-38984_2811-83208"
"CHR-102","CHR-33","2811-38984","2850-57669","1","1",0.229032258064516,"2811-38984_2850-57669"
"CHR-102","CHR-86","2811-38984","2850-57653","1","1",0.229032258064516,"2811-38984_2850-57653"
"CHR-102","CHR-133","2811-38984","2850-57570","1","1",0.229032258064516,"2811-38984_2850-57570"
"CHR-102","CHR-39","2811-38984","2850-57620","1","1",0.229032258064516,"2811-38984_2850-57620"
"CHR-102","CHR-25","2811-38984","2850-57881","1","1",0.216129032258065,"2811-38984_2850-57881"
"CHR-102","CHR-66","2811-38984","2850-57581","1","1",0.212903225806452,"2811-38984_2850-57581"
"CHR-102","CHR-80","2811-38984","2850-57580","1","1",0.229032258064516,"2811-38984_2850-57580"
"CHR-102","CHR-82","2811-38984","2850-57745","1","1",0.225806451612903,"2811-38984_2850-57745"
"CHR-102","CHR-78","2811-38984","2850-57744","1","1",0.229032258064516,"2811-38984_2850-57744"
"CHR-102","CHR-73","2811-38984","2850-57671","1","1",0.229032258064516,"2811-38984_2850-57671"
"CHR-102","CHR-77","2811-38984","unb-CHR-77","1","1",0.203225806451613,"2811-38984_unb-CHR-77"
"CHR-102","CHR-93","2811-38984","2640-97588","1","1",0.2,"2811-38984_2640-97588"
"CHR-102","CHR-37","2811-38984","2850-57806","1","1",0.2,"2811-38984_2850-57806"
"CHR-102","CHR-43","2811-38984","2850-57567","1","1",0.229032258064516,"2811-38984_2850-57567"
"CHR-102","CHR-76","2811-38984","unb-CHR-76and12","1","1",0.229032258064516,"2811-38984_unb-CHR-76and12"
"CHR-102","CHR-74","2811-38984","2850-57582","1","1",0.229032258064516,"2811-38984_2850-57582"
"CHR-102","CHR-110","2811-38984","2850-57742","1","1",0.209677419354839,"2811-38984_2850-57742"
"CHR-102","CHR-112","2811-38984","2850-57647","1","1",0.229032258064516,"2811-38984_2850-57647"
"CHR-102","CHR-99","2811-38984","2850-57578","1","1",0.229032258064516,"2811-38984_2850-57578"
"CHR-102","CHR-11","2811-38984","2850-57733","1","1",0.229032258064516,"2811-38984_2850-57733"
"CHR-102","CHR-148","2811-38984","2850-57582","1","1",0.229032258064516,"2811-38984_2850-57582"
"CHR-102","CHR-128","2811-38984","2850-57577","1","1",0.229032258064516,"2811-38984_2850-57577"
"CHR-102","CHR-145","2811-38984","unb-CHR-145","1","1",0.229032258064516,"2811-38984_unb-CHR-145"
"CHR-102","CHR-27","2811-38984","2850-57808","1","2",0.2,"2811-38984_2850-57808"
"CHR-102","CHR-109","2811-38984","2850-57731","1","2",0.203225806451613,"2811-38984_2850-57731"
"CHR-102","CHR-102","2811-38984","2640-97589","1","2",0.229032258064516,"2811-38984_2640-97589"
"CHR-102","CHR-96","2811-38984","2850-57806","1","2",0.2,"2811-38984_2850-57806"
"CHR-102","CHR-139","2811-38984","2850-57579","1","2",0.219354838709677,"2811-38984_2850-57579"
"CHR-102","CHR-19","2811-38984","2850-57589","1","2",0.229032258064516,"2811-38984_2850-57589"
"CHR-102","CHR-9","2811-38984","unb-CHR-7and9","1","2",0.229032258064516,"2811-38984_unb-CHR-7and9"
"CHR-102","CHR-4","2811-38984","2811-83208","1","2",0.229032258064516,"2811-38984_2811-83208"
"CHR-102","CHR-33","2811-38984","2850-57669","1","2",0.229032258064516,"2811-38984_2850-57669"
"CHR-102","CHR-45","2811-38984","2850-57653","1","2",0.229032258064516,"2811-38984_2850-57653"
"CHR-102","CHR-151","2811-38984","2850-57570","1","2",0.229032258064516,"2811-38984_2850-57570"
"CHR-102","CHR-39","2811-38984","2850-57620","1","2",0.229032258064516,"2811-38984_2850-57620"
"CHR-102","CHR-95","2811-38984","2850-57881","1","2",0.216129032258065,"2811-38984_2850-57881"
"CHR-102","CHR-16","2811-38984","2850-57581","1","2",0.212903225806452,"2811-38984_2850-57581"
"CHR-102","CHR-115","2811-38984","2850-57745","1","2",0.225806451612903,"2811-38984_2850-57745"
"CHR-102","CHR-78","2811-38984","2850-57744","1","2",0.229032258064516,"2811-38984_2850-57744"
"CHR-102","CHR-77","2811-38984","unb-CHR-77","1","2",0.203225806451613,"2811-38984_unb-CHR-77"
"CHR-102","CHR-93","2811-38984","2640-97588","1","2",0.2,"2811-38984_2640-97588"
"CHR-102","CHR-119","2811-38984","2850-57806","1","2",0.2,"2811-38984_2850-57806"
"CHR-102","CHR-12","2811-38984","unb-CHR-76and12","1","2",0.229032258064516,"2811-38984_unb-CHR-76and12"
"CHR-102","CHR-6","2811-38984","2850-57582","1","2",0.229032258064516,"2811-38984_2850-57582"
"CHR-102","CHR-52","2811-38984","2850-57742","1","2",0.209677419354839,"2811-38984_2850-57742"
"CHR-102","CHR-112","2811-38984","2850-57647","1","2",0.229032258064516,"2811-38984_2850-57647"
"CHR-102","CHR-99","2811-38984","2850-57578","1","2",0.229032258064516,"2811-38984_2850-57578"
"CHR-102","CHR-101","2811-38984","2850-57733","1","2",0.229032258064516,"2811-38984_2850-57733"
