"female","male","pairwise","attempt1","barn","nest","location1","soc.pair","total.dur","process.dist.m","dur.fertile","ci.diff","rest.SI.chr","clutch_id_merge","clutch_match","fert_type","shared_fert","pat.clutch.size","bin_fert","fem_mass_1","fem_throat_avg_bright","fem_breast_avg_bright","fem_TS","fem_TS_scaled","fem_throat_avg_bright_scaled","fem_breast_avg_bright_scaled","male_mass_1","male_throat_avg_bright","male_breast_avg_bright","male_TS","male_TS_scaled","male_throat_avg_bright_scaled","male_breast_avg_bright_scaled","dist.scale","dur.scale","bin_num_fert","size.cat","attempt2","dist.cat","dist.cat2","dist.cat3","prop.fert","rest.SI.scale","soc.male_TS_scaled","soc.male_throat_avg_bright_scaled","soc.male_breast_avg_bright_scaled","soc.fem_TS_scaled","soc.fem_throat_avg_bright_scaled","soc.fem_breast_avg_bright_scaled"
"2850-57730","2850-57742","2850-57730_2850-57742",1,"CHR",93,"CHR-93","0",4,12.7667261,4,7,0.180645161290323,"CHR_93_1",1,NA,0,5,"no",19.1,15.70236623,12.82672316,78.5,0.224690642671068,-0.0934822025987468,-1.95280566010936,16.98,13.00562645,26.1463443,93,0.397002234939508,-0.179380228057897,0.692122624034258,0.254971200381528,0.320918915472468,0,"large","first","dist.20","dist.20","dist.20",0,-0.689034118668181,-0.319841925842042,-0.476208334764261,-1.69766351362466,0.564019367350756,-0.96234197733198,-0.610003960994292
"2850-57730","2850-57742","2850-57730_2850-57742",2,"CHR",93,"CHR-93","0",11,14.1821213381818,6,5,0.3,"CHR_93_2",1,NA,0,4,"no",19.1,15.70236623,12.82672316,78.5,0.224690642671068,-0.0934822025987468,-1.95280566010936,16.98,13.00562645,26.1463443,93,0.397002234939508,-0.179380228057897,0.692122624034258,0.457404757369172,0.858271518124042,0,"large","second","dist.20","dist.20","dist.20",0,0.780709172556517,-0.319841925842042,-0.476208334764261,-1.69766351362466,0.564019367350756,-0.96234197733198,-0.610003960994292
"2850-57730","2850-57744","2850-57730_2850-57744",2,"CHR",93,"CHR-93","0",11,24.93320866,0,-23,0.319354838709677,"CHR_93_2",1,NA,0,4,"no",19.1,15.70236623,12.82672316,78.5,0.224690642671068,-0.0934822025987468,-1.95280566010936,14.77,24.63866733,20.45419575,84.5,-0.618526992834355,2.80911108724386,-0.47150136233152,1.99505359871766,-0.75378628983068,0,"large","second","dist.20+","dist.20+","dist.20+",0,1.01904592248484,-0.319841925842042,-0.476208334764261,-1.69766351362466,-0.411550717693951,1.14723185861105,0.256764043881684
"2850-57730","2850-57744","2850-57730_2850-57744",1,"CHR",93,"CHR-93","0",0,24.93320866,0,25,0.193548387096774,"CHR_93_1",1,NA,0,5,"no",19.1,15.70236623,12.82672316,78.5,0.224690642671068,-0.0934822025987468,-1.95280566010936,14.77,24.63866733,20.45419575,84.5,-0.618526992834355,2.80911108724386,-0.47150136233152,1.99505359871766,-0.75378628983068,0,"large","first","dist.20+","dist.20+","dist.20+",0,-0.530142952049302,-0.319841925842042,-0.476208334764261,-1.69766351362466,-0.411550717693951,1.14723185861105,0.256764043881684
"2850-57730","2850-57745","2850-57730_2850-57745",2,"CHR",93,"CHR-93","0",11,4.367526945,8,-1,0.293548387096774,"CHR_93_2",1,NA,0,4,"no",19.1,15.70236623,12.82672316,78.5,0.224690642671068,-0.0934822025987468,-1.95280566010936,16.33,11.89491525,19.28173812,85,-0.558789979435893,-0.464718413425676,-0.711182356121742,-0.946304397364879,1.39562412077562,0,"large","second","dist.05","dist.05","dist.10",0,0.701263589247072,-0.319841925842042,-0.476208334764261,-1.69766351362466,NA,NA,NA
"2850-57730","2850-57745","2850-57730_2850-57745",1,"CHR",93,"CHR-93","0",0,4.876923868,0,12,0.193548387096774,"CHR_93_1",1,NA,0,5,"no",19.1,15.70236623,12.82672316,78.5,0.224690642671068,-0.0934822025987468,-1.95280566010936,16.33,11.89491525,19.28173812,85,-0.558789979435893,-0.464718413425676,-0.711182356121742,-0.873449107012259,-0.75378628983068,0,"large","first","dist.05","dist.05","dist.10",0,-0.530142952049302,-0.319841925842042,-0.476208334764261,-1.69766351362466,NA,NA,NA
"2850-57730","2850-57806","2850-57730_2850-57806",1,"CHR",93,"CHR-93","0",7,6.642331491,7,4,0.170967741935484,"CHR_93_1",1,NA,0,5,"no",19.1,15.70236623,12.82672316,78.5,0.224690642671068,-0.0934822025987468,-1.95280566010936,15.88,11.25502825,14.26422898,83.83333333,-0.698176344430552,-0.62910335473214,-1.73689240845576,-0.620955856352412,1.12694781944983,0,"large","first","dist.10","dist.10","dist.10",0,-0.80820249363235,-0.319841925842042,-0.476208334764261,-1.69766351362466,0.224690642671068,-0.312822534834813,0.766781208645738
"2850-57730","2850-57806","2850-57730_2850-57806",2,"CHR",93,"CHR-93","0",12,6.21442920225,3,8,0.309677419354839,"CHR_93_2",1,NA,0,4,"no",19.1,15.70236623,12.82672316,78.5,0.224690642671068,-0.0934822025987468,-1.95280566010936,15.88,11.25502825,14.26422898,83.83333333,-0.698176344430552,-0.62910335473214,-1.73689240845576,-0.682155569349956,0.0522426141466809,0,"large","second","dist.10","dist.10","dist.10",0,0.899877547520686,-0.319841925842042,-0.476208334764261,-1.69766351362466,0.224690642671068,-0.312822534834813,0.766781208645738
"2850-57730","2850-57808","2850-57730_2850-57808",1,"CHR",93,"CHR-93","0",7,12.54316078,7,4,0.170967741935484,"CHR_93_1",1,NA,0,5,"no",19.1,15.70236623,12.82672316,78.5,0.224690642671068,-0.0934822025987468,-1.95280566010936,17.44,11.46748421,15.37756564,100,1.23332042251798,-0.574524092276724,-1.50929728666711,0.222996299148416,1.12694781944983,0,"large","first","dist.20","dist.20","dist.20",0,-0.80820249363235,-0.319841925842042,-0.476208334764261,-1.69766351362466,0.564019367350756,-2.00209196155345,-1.05591017852521
"2850-57730","2850-57808","2850-57730_2850-57808",2,"CHR",93,"CHR-93","0",11,13.1855335345455,7,4,0.296774193548387,"CHR_93_2",1,NA,0,4,"no",19.1,15.70236623,12.82672316,78.5,0.224690642671068,-0.0934822025987468,-1.95280566010936,17.44,11.46748421,15.37756564,100,1.23332042251798,-0.574524092276724,-1.50929728666711,0.314870143362871,1.12694781944983,0,"large","second","dist.20","dist.20","dist.20",0,0.740986380901795,-0.319841925842042,-0.476208334764261,-1.69766351362466,0.564019367350756,-2.00209196155345,-1.05591017852521
