"Year","Band","Site","Sex","Type","FamilyID","Tissue","Seq.ID","Nest","Brood","clutch_id","New2023","Notes"
2021,"E58","Schaaps","","egg","Schaaps-54","egg","CO-E58",54,"collected","Schaaps-54_collected","No",""
2021,"E59","Schaaps","","egg","Schaaps-54","egg","CO-E59",54,"collected","Schaaps-54_collected","No",""
2021,"2811-83201","Schaaps","","kid","Schaaps-67","blood","CO-83201",67,"1","Schaaps_67_1","Yes",""
2021,"2811-83202","Schaaps","","kid","Schaaps-67","blood","CO-83202",67,"1","Schaaps_67_1","Yes",""
2021,"2811-83203","Schaaps","","kid","Schaaps-67","blood","CO-83203",67,"1","Schaaps_67_1","Yes",""
2021,"2811-83204","Schaaps","","kid","Schaaps-67","blood","CO-83204",67,"1","Schaaps_67_1","Yes",""
2021,"2811-82996","Schaaps","","kid","Schaaps-67","blood","CO-82996",114,"2","Schaaps_114_2","Yes",""
2021,"2811-82997","Schaaps","","kid","Schaaps-67","blood","CO-82997",114,"2","Schaaps_114_2","Yes",""
2021,"2811-82998","Schaaps","","kid","Schaaps-67","blood","CO-82998",114,"2","Schaaps_114_2","Yes",""
2021,"2811-82999","Schaaps","","kid","Schaaps-67","blood","CO-82999",114,"2","Schaaps_114_2","Yes",""
2021,"2811-83000","Schaaps","","kid","Schaaps-67","blood","CO-83000",114,"2","Schaaps_114_2","Yes",""
2021,"2850-57562","Schaaps","","dad","Schaaps-67","blood","CO-57562",NA,"","","Yes",""
2021,"2850-57904","Schaaps","","mom","Schaaps-67","blood","CO-57904",NA,"","","Yes",""
2021,"2811-39158","Schaaps","","kid","Schaaps-71","blood","CO-39158",71,"1","Schaaps_71_1","Yes",""
2021,"2811-39159","Schaaps","","kid","Schaaps-71","blood","CO-39159",71,"1","Schaaps_71_1","Yes",""
2021,"2811-39177","Schaaps","","kid","Schaaps-71","blood","CO-39177",71,"1","Schaaps_71_1","Yes",""
2021,"2811-39198","Schaaps","","kid","Schaaps-71","blood","CO-39198",71,"1","Schaaps_71_1","Yes",""
2021,"2811-83001","Schaaps","","kid","Schaaps-71","blood","CO-83001",134,"2","Schaaps_134_2","Yes",""
2021,"2811-83002","Schaaps","","kid","Schaaps-71","blood","CO-83002",134,"2","Schaaps_134_2","Yes",""
2021,"2811-83003","Schaaps","","kid","Schaaps-71","blood","CO-83003",134,"2","Schaaps_134_2","Yes",""
2021,"2811-83005","Schaaps","","kid","Schaaps-71","blood","CO-83005",134,"2","Schaaps_134_2","Yes",""
2021,"2850-57606","Schaaps","","dad","Schaaps-71","blood","CO-57606",NA,"","","Yes",""
2021,"2850-57611","Schaaps","","mom","Schaaps-71","blood","CO-57611",NA,"","","Yes",""
2021,"2811-83008","Schaaps","","kid","Schaaps-74","blood","CO-83008",14,"2","Schaaps_14_2","Yes",""
2021,"2811-83009","Schaaps","","kid","Schaaps-74","blood","CO-83009",14,"2","Schaaps_14_2","Yes",""
2021,"2811-83010","Schaaps","","kid","Schaaps-74","blood","CO-83010",14,"2","Schaaps_14_2","Yes",""
2021,"2811-83011","Schaaps","","kid","Schaaps-74","blood","CO-83011",14,"2","Schaaps_14_2","Yes",""
2021,"2811-83012","Schaaps","","kid","Schaaps-74","blood","CO-83012",14,"2","Schaaps_14_2","Yes",""
2021,"2811-39155","Schaaps","","kid","Schaaps-74","blood","CO-39155",74,"1","Schaaps_74_1","Yes",""
2021,"2811-39156","Schaaps","","kid","Schaaps-74","blood","CO-39156",74,"1","Schaaps_74_1","Yes",""
2021,"2811-39157","Schaaps","","kid","Schaaps-74","blood","CO-39157",74,"1","Schaaps_74_1","Yes",""
2021,"2850-57563","Schaaps","","dad","Schaaps-74","blood","CO-57563",NA,"","","Yes",""
2021,"2850-57561","Schaaps","","mom","Schaaps-74","blood","CO-57561",NA,"","","Yes",""
2021,"2811-39038","Schaaps","","kid","Schaaps-80","blood","CO-39038",59,"1","Schaaps_59_1","No",""
2021,"2811-39039","Schaaps","","kid","Schaaps-80","blood","CO-39039",59,"1","Schaaps_59_1","No",""
2021,"2811-39040","Schaaps","","kid","Schaaps-80","blood","CO-39040",59,"1","Schaaps_59_1","No",""
2021,"2811-39041","Schaaps","","kid","Schaaps-80","blood","CO-39041",59,"1","Schaaps_59_1","No",""
2021,"2811-83044","Schaaps","","kid","Schaaps-80","blood","CO-83044",80,"2","Schaaps_80_2","No",""
2021,"2811-83045","Schaaps","","kid","Schaaps-80","blood","CO-83045",80,"2","Schaaps_80_2","No",""
