Send.,Year,Band,Site,Sex,Type,FamilyID,Rep.by.x,GPS_tag.,Nest._1,Tissue,DNA.ID,DNA.Concentration..ng.µL.,DNA.storage.location,X,Re.extract.,Seq.ID,Rep.by.y,Nest..,Brood..,clutch_id
Y,2022,2811-83143,CHR,,kid,CHR-011,645,,101,blood,645,57.202,CO 2022 Field Box 4,,,CO-83143,645,101,2,CHR_101_2
Y,2022,2811-83144,CHR,,kid,CHR-011,646,,101,blood,646,39.534,CO 2022 Field Box 4,,,CO-83144,646,101,2,CHR_101_2
Y,2022,2811-83145,CHR,,kid,CHR-011,647,,101,blood,647,87.696,CO 2022 Field Box 4,,,CO-83145,647,101,2,CHR_101_2
N,2022,2850-57733,CHR,M,dad,CHR-011,886,,11,blood,440,15.346,CO 2022 Field Box 2,,,CO-57733,886,NA,NA,NA
Y,2022,2811-83241,CHR,,kid,CHR-025,595,,25,blood,595,105.633,CO 2022 Field Box 4,,,CO-83241,595,25,1,CHR_25_1
Y,2022,2811-83242,CHR,,kid,CHR-025,596,,25,blood,596,39.789,CO 2022 Field Box 4,,,CO-83242,596,25,1,CHR_25_1
Y,2022,2811-83243,CHR,,kid,CHR-025,597,,25,blood,597,34.573,CO 2022 Field Box 4,,,CO-83243,597,25,1,CHR_25_1
Y,2022,2811-83244,CHR,,kid,CHR-025,598,,25,blood,598,39.534,CO 2022 Field Box 4,,,CO-83244,598,25,1,CHR_25_1
Y,2022,2850-57650,CHR,F,mom,CHR-025,396,,25,blood,396,39.013,Colorado Field Blood 2022 Box 1,,,CO-57650,396,NA,NA,NA
Y,2022,2850-57881,CHR,M,dad,CHR-025,425,,25,blood,425,39.801,CO 2022 Field Box 2,,,CO-57881,425,NA,NA,NA
Y,2022,2881-33655,CHR,,kid,CHR-025,726,,95,blood,726,65.489,CO 2022 Field Box 5,,,CO-33655,726,95,2,CHR_95_2
Y,2022,2881-33656,CHR,,kid,CHR-025,727,,95,blood,727,167.466,CO 2022 Field Box 5,,,CO-33656,727,95,2,CHR_95_2
Y,2022,2881-33657,CHR,,kid,CHR-025,728,,95,blood,728,86.999,CO 2022 Field Box 5,,,CO-33657,728,95,2,CHR_95_2
