"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","band_ind1","site_ind1","nest_ind1","type_ind1","FamilyID_ind1","brood_ind1","clutchID_ind1","band_ind2","site_ind2","nest_ind2","type_ind2","FamilyID_ind2","brood_ind2","clutchID_ind2","mom.assign3","dad.assign3"
"CO_57677","CO_33936",0.204,0.728,0.068,0.432,66341,"2850-57677","Karens",1,"dad","Karens-01",NA,"Karens_1_","2881-33936","Karens",1,"kid","Karens-01","1","Karens_1_1",1,1
"CO_57677","CO_33933",0.205,0.721,0.075,0.435,69495,"2850-57677","Karens",1,"dad","Karens-01",NA,"Karens_1_","2881-33933","Karens",1,"kid","Karens-01","1","Karens_1_1",1,1
"CO_57677","CO_33934",0.211,0.723,0.066,0.428,71689,"2850-57677","Karens",1,"dad","Karens-01",NA,"Karens_1_","2881-33934","Karens",1,"kid","Karens-01","1","Karens_1_1",1,1
"CO_57878","CO_83475",0.161,0.793,0.046,0.442,71912,"2850-57878","Make Believe",31,"mom","MakeBelieve-70.3",NA,"Make Believe_31_","2811-83475","Make Believe",70.3,"kid","MakeBelieve-70.3","2","Make Believe_70.3_2",1,1
"CO_57878","CO_E095",0.159,0.796,0.045,0.443,79739,"2850-57878","Make Believe",31,"mom","MakeBelieve-31",NA,"Make Believe_31_","E095","Make Believe",31,"egg","MakeBelieve-31","collected","Make Believe_31_collected",1,1
"CO_57878","CO_E098",0.147,0.821,0.033,0.443,78617,"2850-57878","Make Believe",31,"mom","MakeBelieve-31",NA,"Make Believe_31_","E098","Make Believe",31,"egg","MakeBelieve-31","collected","Make Believe_31_collected",1,1
"CO_57878","CO_E096",0.169,0.802,0.029,0.43,77482,"2850-57878","Make Believe",31,"mom","MakeBelieve-31",NA,"Make Believe_31_","E096","Make Believe",31,"egg","MakeBelieve-31","collected","Make Believe_31_collected",1,1
"CO_57878","CO_E097",0.168,0.781,0.051,0.441,75729,"2850-57878","Make Believe",31,"mom","MakeBelieve-31",NA,"Make Believe_31_","E097","Make Believe",31,"egg","MakeBelieve-31","collected","Make Believe_31_collected",1,1
"CO_57878","CO_83476",0.205,0.737,0.059,0.427,76726,"2850-57878","Make Believe",31,"mom","MakeBelieve-70.3",NA,"Make Believe_31_","2811-83476","Make Believe",70.3,"kid","MakeBelieve-70.3","2","Make Believe_70.3_2",1,1
"CO_21085","CO_E090",0.267,0.634,0.099,0.416,56048,"2350-21085","Make Believe",70,"dad","MakeBelieve-70",NA,"Make Believe_70_","E090","Make Believe",70,"kid","MakeBelieve-70","collected","Make Believe_70_collected",1,1
