"Ind2","genetic_fam","band_ind2","site_ind2","nest_ind2","type_ind2","FamilyID_ind2","brood_ind2","clutchID_ind2","mom.assign3","dad.assign3","k0_hat_dad","k1_hat_dad","k2_hat_dad","pi_HAT_dad","nbSNP_dad","band_dad","site_dad","nest_dad","type_dad","FamilyID_dad","k0_hat_mom","k1_hat_mom","k2_hat_mom","pi_HAT_mom","nbSNP_mom","band_mom","site_mom","nest_mom","type_mom","FamilyID_mom","site_type"
"CO_E152","2850-57686_2850-57685","E152","Boyer",5,"egg","Boyer-05","collected","Boyer_5_collected",1,1,0.237,0.686,0.076,0.42,63041,"2850-57686","Boyer",13,"dad","Boyer-05",0.185,0.761,0.054,0.435,62500,"2850-57685","Boyer",13,"mom","Boyer-05","medium"
"CO_E156","2850-57686_2850-57685","E156","Boyer",5,"egg","Boyer-05","collected","Boyer_5_collected",1,1,0.18,0.777,0.043,0.431,77389,"2850-57686","Boyer",13,"dad","Boyer-05",0.133,0.865,0.002,0.434,76835,"2850-57685","Boyer",13,"mom","Boyer-05","medium"
"CO_E101","NA_2850-57853","E101","Cooks",29,"egg","Cooks-29","collected","Cooks_29_collected",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.522,0.158,0.32,0.399,14367,"2850-57853","Cooks",29,"mom","Cooks-29","medium"
"CO_E103","2850-57638_2850-57853","E103","Cooks",29,"egg","Cooks-29","collected","Cooks_29_collected",1,1,0.131,0.836,0.033,0.451,77058,"2850-57638","Cooks",29,"dad","Cooks-29",0.153,0.788,0.059,0.453,63749,"2850-57853","Cooks",29,"mom","Cooks-29","medium"
"CO_E104","2850-57638_2850-57853","E104","Cooks",29,"egg","Cooks-29","collected","Cooks_29_collected",1,1,0.234,0.665,0.102,0.434,61753,"2850-57638","Cooks",29,"dad","Cooks-29",0.266,0.605,0.129,0.431,51101,"2850-57853","Cooks",29,"mom","Cooks-29","medium"
"CO_E102","2850-57638_2850-57853","E102","Cooks",29,"egg","Cooks-29","collected","Cooks_29_collected",1,1,0.142,0.816,0.042,0.45,76722,"2850-57638","Cooks",29,"dad","Cooks-29",0.164,0.782,0.054,0.445,63380,"2850-57853","Cooks",29,"mom","Cooks-29","medium"
"CO_33811","2811-83229_2850-57952","2881-33811","Jays",1.2,"kid","Jays-01","2","Jays_1.2_2",1,1,0.215,0.677,0.108,0.446,53910,"2811-83229","Jays",1,"dad","Jays-01",0.204,0.734,0.062,0.429,66491,"2850-57952","Jays",1,"mom","Jays-01","solitary"
"CO_33809","2811-83229_2850-57952","2881-33809","Jays",1.2,"kid","Jays-01","2","Jays_1.2_2",1,1,0.247,0.627,0.125,0.439,53024,"2811-83229","Jays",1,"dad","Jays-01",0.21,0.737,0.054,0.422,65446,"2850-57952","Jays",1,"mom","Jays-01","solitary"
"CO_33810","2811-83229_2850-57952","2881-33810","Jays",1.2,"kid","Jays-01","2","Jays_1.2_2",1,1,0.26,0.622,0.118,0.429,57156,"2811-83229","Jays",1,"dad","Jays-01",0.212,0.713,0.075,0.432,70501,"2850-57952","Jays",1,"mom","Jays-01","solitary"
"CO_83166","2811-83229_2850-57952","2811-83166","Jays",1,"kid","Jays-01","1","Jays_1_1",1,1,0.202,0.734,0.064,0.431,56413,"2811-83229","Jays",1,"dad","Jays-01",0.208,0.733,0.059,0.425,69718,"2850-57952","Jays",1,"mom","Jays-01","solitary"
"CO_83169","2811-83229_2850-57952","2811-83169","Jays",1,"kid","Jays-01","1","Jays_1_1",1,1,0.211,0.707,0.082,0.435,58346,"2811-83229","Jays",1,"dad","Jays-01",0.185,0.745,0.07,0.443,71984,"2850-57952","Jays",1,"mom","Jays-01","solitary"
"CO_33935","2850-57677_2850-57956","2881-33935","Karens",1,"kid","Karens-01","1","Karens_1_1",1,1,0.221,0.7,0.08,0.43,63957,"2850-57677","Karens",1,"dad","Karens-01",0.178,0.743,0.079,0.451,56186,"2850-57956","Karens",1,"mom","Karens-01","solitary"
"CO_33932","2850-57677_2850-57956","2881-33932","Karens",1,"kid","Karens-01","1","Karens_1_1",1,1,0.18,0.758,0.061,0.44,69276,"2850-57677","Karens",1,"dad","Karens-01",0.173,0.764,0.063,0.445,60932,"2850-57956","Karens",1,"mom","Karens-01","solitary"
"CO_33936","2850-57677_2850-57956","2881-33936","Karens",1,"kid","Karens-01","1","Karens_1_1",1,1,0.204,0.728,0.068,0.432,66341,"2850-57677","Karens",1,"dad","Karens-01",0.214,0.696,0.091,0.438,58294,"2850-57956","Karens",1,"mom","Karens-01","solitary"
"CO_33933","2850-57677_2850-57956","2881-33933","Karens",1,"kid","Karens-01","1","Karens_1_1",1,1,0.205,0.721,0.075,0.435,69495,"2850-57677","Karens",1,"dad","Karens-01",0.206,0.704,0.09,0.442,61042,"2850-57956","Karens",1,"mom","Karens-01","solitary"
"CO_33934","2850-57677_2850-57956","2881-33934","Karens",1,"kid","Karens-01","1","Karens_1_1",1,1,0.211,0.723,0.066,0.428,71689,"2850-57677","Karens",1,"dad","Karens-01",0.188,0.729,0.083,0.448,63024,"2850-57956","Karens",1,"mom","Karens-01","solitary"
"CO_83475","2350-21085_2850-57878","2811-83475","Make Believe",70.3,"kid","MakeBelieve-70.3","2","Make Believe_70.3_2",1,1,0.235,0.695,0.07,0.418,62306,"2350-21085","Make Believe",70,"dad","MakeBelieve-70.3",0.161,0.793,0.046,0.442,71912,"2850-57878","Make Believe",31,"mom","MakeBelieve-70.3","medium"
"CO_E095","2850-57877_2850-57878","E095","Make Believe",31,"egg","MakeBelieve-31","collected","Make Believe_31_collected",1,1,0.142,0.83,0.028,0.443,74984,"2850-57877","Make Believe",31,"dad","MakeBelieve-31",0.159,0.796,0.045,0.443,79739,"2850-57878","Make Believe",31,"mom","MakeBelieve-31","medium"
"CO_E098","2850-57877_2850-57878","E098","Make Believe",31,"egg","MakeBelieve-31","collected","Make Believe_31_collected",1,1,0.178,0.771,0.05,0.436,73871,"2850-57877","Make Believe",31,"dad","MakeBelieve-31",0.147,0.821,0.033,0.443,78617,"2850-57878","Make Believe",31,"mom","MakeBelieve-31","medium"
"CO_E096","2850-57877_2850-57878","E096","Make Believe",31,"egg","MakeBelieve-31","collected","Make Believe_31_collected",1,1,0.135,0.834,0.031,0.448,72839,"2850-57877","Make Believe",31,"dad","MakeBelieve-31",0.169,0.802,0.029,0.43,77482,"2850-57878","Make Believe",31,"mom","MakeBelieve-31","medium"
"CO_E097","2850-57877_2850-57878","E097","Make Believe",31,"egg","MakeBelieve-31","collected","Make Believe_31_collected",1,1,0.16,0.792,0.048,0.444,71258,"2850-57877","Make Believe",31,"dad","MakeBelieve-31",0.168,0.781,0.051,0.441,75729,"2850-57878","Make Believe",31,"mom","MakeBelieve-31","medium"
"CO_83476","2350-21085_2850-57878","2811-83476","Make Believe",70.3,"kid","MakeBelieve-70.3","2","Make Believe_70.3_2",1,1,0.273,0.639,0.088,0.407,66420,"2350-21085","Make Believe",70,"dad","MakeBelieve-70.3",0.205,0.737,0.059,0.427,76726,"2850-57878","Make Believe",31,"mom","MakeBelieve-70.3","medium"
"CO_E090","2350-21085_2640-97596","E090","Make Believe",70,"kid","MakeBelieve-70","collected","Make Believe_70_collected",1,1,0.267,0.634,0.099,0.416,56048,"2350-21085","Make Believe",70,"dad","MakeBelieve-70",0.275,0.592,0.133,0.429,56879,"2640-97596","Make Believe",70,"mom","MakeBelieve-70","medium"
"CO_E091","2350-21085_2640-97596","E091","Make Believe",70,"kid","MakeBelieve-70","collected","Make Believe_70_collected",1,1,0.276,0.647,0.076,0.4,59403,"2350-21085","Make Believe",70,"dad","MakeBelieve-70",0.213,0.705,0.082,0.434,60331,"2640-97596","Make Believe",70,"mom","MakeBelieve-70","medium"
"CO_E092","2350-21085_2640-97596","E092","Make Believe",70,"kid","MakeBelieve-70","collected","Make Believe_70_collected",1,1,0.231,0.71,0.058,0.413,54235,"2350-21085","Make Believe",70,"dad","MakeBelieve-70",0.242,0.653,0.105,0.431,55115,"2640-97596","Make Believe",70,"mom","MakeBelieve-70","medium"
"CO_E093","2350-21085_2640-97596","E093","Make Believe",70,"kid","MakeBelieve-70","collected","Make Believe_70_collected",1,1,0.275,0.627,0.097,0.411,56048,"2350-21085","Make Believe",70,"dad","MakeBelieve-70",0.239,0.665,0.096,0.428,56849,"2640-97596","Make Believe",70,"mom","MakeBelieve-70","medium"
"CO_E094","2350-21085_2640-97596","E094","Make Believe",70,"kid","MakeBelieve-70","collected","Make Believe_70_collected",1,1,0.312,0.551,0.137,0.412,50971,"2350-21085","Make Believe",70,"dad","MakeBelieve-70",0.213,0.696,0.091,0.439,51890,"2640-97596","Make Believe",70,"mom","MakeBelieve-70","medium"
"CO_83151","2850-57552_2850-57551","2811-83151","Struthers",24,"kid","Struthers-24","1","Struthers_24_1",1,2,0.236,0.704,0.06,0.412,68799,"2850-57552","Struthers",24,"dad","Struthers-24",0.247,0.702,0.051,0.402,64332,"2850-57551","Struthers",24,"mom","Struthers-24","small"
"CO_83149","2850-57552_2850-57551","2811-83149","Struthers",24,"kid","Struthers-24","1","Struthers_24_1",1,2,0.265,0.646,0.089,0.412,66822,"2850-57552","Struthers",24,"dad","Struthers-24",0.258,0.674,0.068,0.405,62502,"2850-57551","Struthers",24,"mom","Struthers-24","small"
"CO_83150","2850-57552_2850-57551","2811-83150","Struthers",24,"kid","Struthers-24","1","Struthers_24_1",1,2,0.252,0.672,0.077,0.413,63967,"2850-57552","Struthers",24,"dad","Struthers-24",0.226,0.702,0.072,0.423,59863,"2850-57551","Struthers",24,"mom","Struthers-24","small"
"CO_83155","2850-57684_2850-57943","2811-83155","Struthers",23,"kid","Struthers-23","1","Struthers_23_1",1,1,0.265,0.632,0.102,0.419,62343,"2850-57684","Struthers",23,"dad","Struthers-23",0.188,0.742,0.07,0.441,67453,"2850-57943","Struthers",23,"mom","Struthers-23","small"
"CO_83156","2850-57684_2850-57943","2811-83156","Struthers",23,"kid","Struthers-23","1","Struthers_23_1",1,1,0.215,0.703,0.082,0.434,67142,"2850-57684","Struthers",23,"dad","Struthers-23",0.157,0.79,0.053,0.448,72649,"2850-57943","Struthers",23,"mom","Struthers-23","small"
"CO_83148","2850-57659_2850-57551","2811-83148","Struthers",24,"kid","Struthers-24","1","Struthers_24_1",1,1,0.16,0.779,0.061,0.451,62393,"2850-57659","Blue Cloud",4,"dad","BlueCloud-04",0.249,0.695,0.056,0.403,64522,"2850-57551","Struthers",24,"mom","Struthers-24","small"
"CO_83177","2850-57552_2850-57551","2811-83177","Struthers",25,"kid","Struthers-24","2","Struthers_25_2",1,1,0.288,0.614,0.098,0.405,57433,"2850-57552","Struthers",24,"dad","Struthers-24",0.297,0.607,0.096,0.399,53789,"2850-57551","Struthers",24,"mom","Struthers-24","small"
"CO_83176","2850-57552_2850-57551","2811-83176","Struthers",25,"kid","Struthers-24","2","Struthers_25_2",1,1,0.266,0.66,0.074,0.404,59836,"2850-57552","Struthers",24,"dad","Struthers-24",0.299,0.592,0.109,0.405,56100,"2850-57551","Struthers",24,"mom","Struthers-24","small"
"CO_83178","2850-57674_2850-57551","2811-83178","Struthers",25,"kid","Struthers-24","2","Struthers_25_2",1,1,0.243,0.671,0.086,0.421,65403,"2850-57674","Struthers",3,"dad","Struthers-03",0.314,0.578,0.107,0.397,59896,"2850-57551","Struthers",24,"mom","Struthers-24","small"
"CO_33805","2850-57765_2850-57629","2881-33805","Urban Farm Girlz",5,"kid","UrbanFarm-05","2","Urban Farm Girlz_5_1",1,1,0.204,0.719,0.077,0.437,62722,"2850-57765","Urban Farm Girlz",8,"dad","UrbanFarm-05",0.211,0.721,0.068,0.429,63905,"2850-57629","Urban Farm Girlz",2,"mom","UrbanFarm-05","small"
"CO_83373","NA_2850-57629","2811-83373","Urban Farm Girlz",8,"kid","UrbanFarm-05","1","Urban Farm Girlz_8_1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.209,0.719,0.072,0.432,63300,"2850-57629","Urban Farm Girlz",2,"mom","UrbanFarm-05","small"
"CO_83370","NA_2850-57629","2811-83370","Urban Farm Girlz",8,"kid","UrbanFarm-05","1","Urban Farm Girlz_8_1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.216,0.686,0.098,0.441,63712,"2850-57629","Urban Farm Girlz",2,"mom","UrbanFarm-05","small"
"CO_83372","NA_2850-57629","2811-83372","Urban Farm Girlz",8,"kid","UrbanFarm-05","1","Urban Farm Girlz_8_1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.241,0.655,0.105,0.432,63282,"2850-57629","Urban Farm Girlz",2,"mom","UrbanFarm-05","small"
