"female","male","pairwise","attempt1","barn","nest","location1","soc.pair","total.dur","process.dist.m","dur.fertile","ci.diff","rest.SI.chr","clutch_id_merge","clutch_match","fert_type","shared_fert","pat.clutch.size","bin_fert"
"2640-97358","2811-83208","2640-97358_2811-83208","1","CHR","32","CHR-32",0,0,15.89371749,0,18,0.170967741935484,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","2850-57567","2640-97358_2850-57567","1","CHR","32","CHR-32",0,0,9.48243736,0,16,0.170967741935484,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","2850-57567","2640-97358_2850-57567","3","CHR","32","CHR-32",0,0,9.48243736,0,-74,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","2850-57570","2640-97358_2850-57570","1","CHR","32","CHR-32",0,0,6.668909987,0,28,0.170967741935484,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","2850-57570","2640-97358_2850-57570","3","CHR","32","CHR-32",0,0,9.343164629,0,-42,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","2850-57577","2640-97358_2850-57577","3","CHR","32","CHR-32",0,9,14.14510354,0,-13,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","2850-57577","2640-97358_2850-57577","1","CHR","32","CHR-32",0,0,13.66075475,0,28,0.170967741935484,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","2850-57578","2640-97358_2850-57578","3","CHR","32","CHR-32",0,9,2.895473875,0,-16,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","2850-57578","2640-97358_2850-57578","1","CHR","32","CHR-32",0,0,2.895473875,0,24,0.170967741935484,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","2850-57579","2640-97358_2850-57579","1","CHR","32","CHR-32",0,0,4.854405069,0,11,0.170967741935484,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","2850-57579","2640-97358_2850-57579","3","CHR","32","CHR-32",0,0,6.192228038,0,-54,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","2850-57580","2640-97358_2850-57580","1","CHR","32","CHR-32",0,0,10.73150544,0,19,0.170967741935484,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","2850-57580","2640-97358_2850-57580","3","CHR","32","CHR-32",0,0,10.73150544,0,-71,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","2850-57581","2640-97358_2850-57581","1","CHR","32","CHR-32",0,2,10.64783291,2,9,0.164516129032258,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","2850-57581","2640-97358_2850-57581","3","CHR","32","CHR-32",0,9,12.48987977,0,-32,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","2850-57582","2640-97358_2850-57582","3","CHR","32","CHR-32",0,9,12.34434022,0,-21,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","2850-57582","2640-97358_2850-57582","1","CHR","32","CHR-32",0,0,12.77634584,0,17,0.170967741935484,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","2850-57589","2640-97358_2850-57589","3","CHR","32","CHR-32",0,9,6.682175434,0,-22,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","2850-57589","2640-97358_2850-57589","1","CHR","32","CHR-32",0,0,5.352451183,0,15,0.170967741935484,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","2850-57620","2640-97358_2850-57620","3","CHR","32","CHR-32",0,9,5.510588776,0,-23,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","2850-57620","2640-97358_2850-57620","1","CHR","32","CHR-32",0,0,5.510588776,0,18,0.170967741935484,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","2850-57647","2640-97358_2850-57647","3","CHR","32","CHR-32",0,9,1.783308813,0,-13,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","2850-57647","2640-97358_2850-57647","1","CHR","32","CHR-32",0,0,1.783308813,0,23,0.170967741935484,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","2850-57653","2640-97358_2850-57653","3","CHR","32","CHR-32",0,4,15.78636065,0,-39,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","2850-57653","2640-97358_2850-57653","1","CHR","32","CHR-32",0,0,13.61310389,0,18,0.170967741935484,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","2850-57669","2640-97358_2850-57669","3","CHR","32","CHR-32",0,9,2.937468205,0,-18,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","2850-57669","2640-97358_2850-57669","1","CHR","32","CHR-32",0,0,2.99327368,0,18,0.170967741935484,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","2850-57671","2640-97358_2850-57671","1","CHR","32","CHR-32",0,0,15.5412171,0,22,0.170967741935484,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","2850-57671","2640-97358_2850-57671","3","CHR","32","CHR-32",0,0,15.5412171,0,-68,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","2850-57731","2640-97358_2850-57731","1","CHR","32","CHR-32",1,11,0.08,11,0,0.170967741935484,"CHR_32_1",1,"wp",4,5,"yes"
"2640-97358","2850-57731","2640-97358_2850-57731","3","CHR","32","CHR-32",1,9,0.08,9,0,0.0362903225806452,"CHR_32_3",1,"wp",2,2,"yes"
"2640-97358","2850-57733","2640-97358_2850-57733","3","CHR","32","CHR-32",0,9,8.027254901,9,-1,0,"CHR_32_3",1,NA,0,2,"no"
