band,site,sex,date_captured,rwl1,rwl2,rwl3,intact_lts,intact_rts,lts1,lts2,lts3,rts1,rts2,rts3,mass_1,mass_2,mass_2_date,mass_3,mass_3_date,nest_1,mate_band_1,ci_1,eggs_1,nest_2,mate_band_2,ci_2,eggs_2,nest_3,mate_band_3,ci_3,eggs_3,nest_4,mate_band_4,ci_4,eggs_4,throat_avg_bright,throat_chroma,throat_hue,throat_total_bright,breast_avg_bright,breast_chroma,breast_hue,breast_total_bright,belly_avg_bright,belly_chroma,belly_hue,belly_total_bright,vent_avg_bright,vent_chroma,vent_hue,vent_total_bright,bird_notes,year,julian_ci_1,julian_ci_2,julian_ci_3,julian_ci_4,mean_rwl,mean_rts,mean_lts
2850-57745,Colorado Horse Rescue,M,2022-06-17,118,118,118,Y,Y,86,86,86,85,85,85,16.33,NA,NA,NA,NA,82,2850-57655,2022-05-26,5,115,2850-57655,2022-06-30,3,NA,,NA,NA,NA,,NA,NA,11.89491525,0.520998035,667.1156667,23861.2,19.28173812,0.496153459,634.065,38679.16667,21.88407444,0.484884869,657.7393333,43899.45333,26.3850565,0.474305256,645.4026667,52928.42333,; ; ,2022,146,181,NA,NA,118,85,86
2850-57746,Colorado Horse Rescue,F,2022-06-17,116,116,115.5,N,Y,NA,NA,NA,78,78,78,16.91,NA,NA,NA,NA,74,2850-57582,2022-05-30,4,6,2850-57582,2022-07-21,5,NA,,NA,NA,NA,,NA,NA,16.74286308,0.495003601,658.0916667,33586.18333,19.18283317,0.480290485,642.151,38480.76333,22.0371552,0.479027413,665.8,44206.53333,18.33031073,0.470432651,665.8,36770.60333,No LTS; ; ,2022,150,202,NA,NA,115.8333333,78,NA
2850-57806,Colorado Horse Rescue,M,2022-06-17,120,120,120.5,Y,Y,86,86,86,83.5,84,84,15.88,16.36,2022-07-11,NA,NA,37,2850-57735,2022-05-18,5,96,2850-57568,2022-05-18,5,119,2850-57735,2022-07-09,4,96.2,2850-57568,2022-07-10,5,11.25502825,0.516086951,669.4676667,22577.58667,14.26422898,0.518970434,659.167,28614.04333,18.0460319,0.470292612,659.167,36200.34,17.57589232,0.493413321,659.167,35257.24,; ; attending two different nests for 1st and 2nd broods!,2022,138,138,190,191,120.1666667,83.83333333,86
2850-57808,Colorado Horse Rescue,M,2022-08-07,120.5,120.5,120.5,Y,N,100,100,100,NA,NA,NA,17.44,NA,NA,NA,NA,29,2640-97331,2022-05-18,5,27,2640-97331,2022-07-05,4,NA,,NA,NA,NA,,NA,NA,11.46748421,0.514088925,678.7753333,23003.77333,15.37756564,0.515459018,659.167,30847.39667,20.6164008,0.49573159,641.3963333,41356.5,18.7548222,0.472216787,642.151,37622.17333,RTS broken; ; ,2022,138,186,NA,NA,120.5,NA,100
2850-57846,Colorado Horse Rescue,F,2022-06-17,118,118.5,118,Y,Y,80,80,80,79.5,80,80,17.29,NA,NA,NA,NA,110,2850-57742,2022-05-21,4,52,2850-57742,2022-07-06,5,NA,,NA,NA,NA,,NA,NA,13.03171486,0.551398233,659.167,26141.62,21.79884679,0.448054925,642.4716667,43728.48667,24.82876869,0.459428468,642.151,49806.51,29.76354271,0.472972655,659.167,59705.66667,curled tail streamers; ; ,2022,141,187,NA,NA,118.1666667,79.83333333,80
2850-57879,Colorado Horse Rescue,F,2022-06-17,125,124.5,125,Y,N,86.5,86.5,87,NA,NA,NA,19.28,NA,NA,NA,NA,112,2850-57647,2022-06-05,5,112.2,2850-57647,2022-07-29,5,NA,,NA,NA,NA,,NA,NA,14.99234629,0.534344994,627.3723333,30074.64667,31.94793453,0.424935289,643.0996667,64087.55667,31.93524427,0.409605816,627.052,64062.1,34.53678132,0.43009849,610.6836667,69280.78333,missing RTS; ; ,2022,156,210,NA,NA,124.8333333,NA,86.66666667
2850-57880,Colorado Horse Rescue,M,2022-06-17,121,121,121.5,Y,Y,101,101,100.5,101.5,102,102,16.81,NA,NA,NA,NA,139,2850-57571,2022-06-18,4,,,NA,NA,NA,,NA,NA,NA,,NA,NA,18.64706215,0.524478259,611.004,37406.00667,29.39281489,0.44544361,631.6946667,58961.98667,28.58826853,0.411459377,627.6863333,57348.06667,27.28634098,0.464295077,611.004,54736.4,both TS bent; ; paired w/ female who was with a different male for first brood,2022,169,NA,NA,NA,121.1666667,101.8333333,100.8333333
2850-57881,Colorado Horse Rescue,M,2022-06-17,120,119.5,119.5,Y,Y,86,85.5,86,85,85,84.5,16.55,NA,NA,NA,NA,25,2850-57650,2022-05-23,6,95,2850-57650,2022-07-19,4,NA,,NA,NA,NA,,NA,NA,11.73463277,0.535560863,644.7453333,23539.67333,21.93833167,0.494146676,611.004,44008.29333,26.56095214,0.438684751,643.7343333,53281.27,31.59365071,0.464706779,610.6836667,63376.86333,right middle toe snapped/damaged. Tip of toes almost fell off by the end of processing; ; ,2022,143,200,NA,NA,119.6666667,84.83333333,85.83333333
2850-57882,Colorado Horse Rescue,F,2022-06-17,119,119,119,Y,Y,84,84,84.5,86.5,86.5,87,18.54,NA,NA,NA,NA,85,2811-82969,2022-05-30,NA,,,NA,NA,NA,,NA,NA,NA,,NA,NA,17.07547856,0.488105377,631.6946667,34253.41,17.87328847,0.508522162,611.004,35853.81667,21.0287122,0.489084543,610.6836667,42183.59667,20.56727152,0.49776258,611.004,41257.94667,; ; ,2022,150,NA,NA,NA,119,86.66666667,84.16666667
2850-57883,Colorado Horse Rescue,F,2022-06-17,118,118,118,N,Y,NA,NA,NA,78,78,77.5,16.69,NA,NA,NA,NA,99,2850-57578,2022-06-06,5,99.2,2850-57578,2022-07-26,4,NA,,NA,NA,NA,,NA,NA,20.88361083,0.477014322,659.167,41892.52333,25.27007145,0.443795535,598.4333333,50691.76333,28.1415786,0.420426057,606.3786667,56452.00667,31.36723164,0.437279716,632.7336667,62922.66667,LTS broken; ; ,2022,157,207,NA,NA,118,77.83333333,NA
2850-57884,Colorado Horse Rescue,F,2022-06-17,122,122,122,Y,N,78,78,78.5,NA,NA,NA,19.01,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,22.82153373,0.465819561,627.3723333,45779.99667,33.81840146,0.407879042,635.715,67839.71333,25.5678099,0.415762874,626.0903333,51289.02667,32.8096228,0.436573531,621.47,65816.10333,missing RTS. not assigned to any nest as of 8/3/22; ; not assigned to any nest as of 10/10/22,2022,NA,NA,NA,NA,122,NA,78.16666667
2870-64907,Colorado Horse Rescue,M,2022-08-07,119,119,119,Y,Y,90,90,90,89,89,89.5,14.88,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,18.72090728,0.475154697,623.4076667,37554.14,20.8235776,0.481517429,627.39,41772.09667,20.51249252,0.468005265,610.363,41148.06,20.89599036,0.465337989,598.364,41917.35667,not assigned to any nest as of 10/10/22; green sharpie on tail; not assigned to any nest as of 10/10/22,2022,NA,NA,NA,NA,119,89.16666667,90
2870-64908,Colorado Horse Rescue,F,2022-08-07,123,123.5,123,Y,Y,81.5,82,82,80,80,80,18.58,NA,NA,NA,NA,11,2850-57733,2022-06-25,4,101,2850-57733,2022-08-10,4,NA,,NA,NA,NA,,NA,NA,12.54084247,0.56145742,675.4463333,25156.93,22.86535394,0.47117742,633.8136667,45867.9,24.19610003,0.477382231,641.3963333,48537.37667,23.69351944,0.475188692,649.4783333,47529.2,mud on bill; purple sharpie on tail; ,2022,176,222,NA,NA,123.1666667,80,81.83333333
2870-64909,Colorado Horse Rescue,F,2022-08-07,117.5,117.5,118,Y,Y,73.5,73,73,72,72,72,17.46,NA,NA,NA,NA,148,2850-57582,2022-07-30,5,,,NA,NA,NA,,NA,NA,NA,,NA,NA,13.53066633,0.536423157,673.7936667,27142.51667,38.09591392,0.402625511,609.081,76420.40333,27.94449319,0.41560494,614.7323333,56056.65333,30.02785311,0.437260381,597.723,60235.87333,; ; ,2022,211,NA,NA,NA,117.6666667,72,73.16666667
2870-64910,Colorado Horse Rescue,F,2022-08-07,118,118,118,Y,Y,81,81,81,82,82,82.5,14.74,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,15.97631938,0.492516709,659.795,32048.49667,24.92539216,0.407912532,642.7856667,50000.33667,27.31371552,0.384323022,659.481,54791.31333,29.38580758,0.417812128,609.081,58947.93,not assigned to any nest as of 10/10/22; ; not assigned to any nest as of 10/10/22,2022,NA,NA,NA,NA,118,82.16666667,81
2870-64911,Colorado Horse Rescue,unknown,2022-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.95,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fledgling; ; ,2022,NA,NA,NA,NA,NA,NA,NA
2870-65003,Colorado Horse Rescue,F,2022-07-11,114,114,114,Y,Y,75,75,75,75,75,75,16.1,NA,NA,NA,NA,128,2850-57577,2022-06-10,4,150,2850-57577,2022-07-29,5,NA,,NA,NA,NA,,NA,NA,16.80360253,0.508698732,639.3743333,33708.02667,22.7877451,0.460682544,610.6836667,45712.21667,28.35118976,0.447607161,611.3883333,56872.48667,25.32722832,0.473120529,611.068,50806.42,; ; ,2022,161,210,NA,NA,114,75,75
2870-65004,Colorado Horse Rescue,F,2022-07-11,117,117.5,117,Y,Y,80,80.5,80.5,82,82.5,82.5,18.3,NA,NA,NA,NA,145,UNB,2022-06-27,3,,,NA,NA,NA,,NA,NA,NA,,NA,NA,15.34924061,0.485158378,643.4266667,30790.57667,34.92050515,0.408986638,608.4396667,70050.53333,30.44009139,0.408319557,625.7763333,61062.82333,30.66229644,0.404929236,605.0953333,61508.56667,; ; caught off #145,2022,178,NA,NA,NA,117.1666667,82.33333333,80.33333333
