band,site,sex,date_captured,rwl1,rwl2,rwl3,intact_lts,intact_rts,lts1,lts2,lts3,rts1,rts2,rts3,mass_1,mass_2,mass_2_date,mass_3,mass_3_date,nest_1,mate_band_1,ci_1,eggs_1,nest_2,mate_band_2,ci_2,eggs_2,nest_3,mate_band_3,ci_3,eggs_3,nest_4,mate_band_4,ci_4,eggs_4,throat_avg_bright,throat_chroma,throat_hue,throat_total_bright,breast_avg_bright,breast_chroma,breast_hue,breast_total_bright,belly_avg_bright,belly_chroma,belly_hue,belly_total_bright,vent_avg_bright,vent_chroma,vent_hue,vent_total_bright,year,julian_ci_1,julian_ci_2,julian_ci_3,julian_ci_4,mean_rwl,mean_rts,mean_lts,TS,TS_scaled,throat_avg_bright_scaled,breast_avg_bright_scaled,belly_avg_bright_scaled,vent_avg_bright_scaled
2850-57581,Colorado Horse Rescue,M,2022-06-17,116,116,116,Y,Y,83,83,83,82.5,82.5,82.5,15.5,NA,NA,NA,NA,66,2850-57652,2022-05-22,3,16,2850-57652,2022-06-10,4,NA,,NA,NA,NA,,NA,NA,12.5018158,0.557442636,674.1035,25078.6425,18.94245264,0.521103483,641.0916667,37998.56,27.0381655,0.472765016,616.0483333,54238.56,19.62838485,0.524143762,664.102,39374.54,2022,142,161,NA,NA,116,82.5,83,82.5,-0.857475046,-0.308807587,-0.780541179,1.310365844,-0.291227864
2850-57582,Colorado Horse Rescue,M,2022-06-17,118,118,118,Y,Y,86,86,86,88.5,88.5,88.5,15.9,NA,NA,NA,NA,74,2850-57746,2022-05-30,4,148,2870-64909,2022-07-30,5,6,2850-57746,2022-07-21,5,NA,,NA,NA,NA,NA,NA,NA,28.49882187,0.467628455,626.7313333,57168.63667,24.79582419,0.471185748,627.0583333,49740.42333,10.86734629,0.526212895,643.7406667,21799.89667,2022,150,211,202,NA,118,88.5,86,88.5,-0.140630886,NA,1.173030545,0.726460963,-2.023526422
2850-57587,Colorado Horse Rescue,M,2022-06-20,NA,NA,NA,N,Y,NA,NA,NA,111,111,111,19.2,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,10.28251246,0.510329457,679.4616667,20626.72,16.08896145,0.520874934,688.7656667,32274.45667,10.15140744,0.544031824,669.7853333,20363.72333,15.96963277,0.514558242,647.369,32035.08333,2022,NA,NA,NA,NA,NA,111,NA,111,2.547534717,-0.878939577,-1.363869383,-3.086939965,-1.014663894
2850-57589,Colorado Horse Rescue,M,2022-06-20,119.5,120,120,Y,Y,96.5,96.5,96.5,97,97,97,17.5,NA,NA,NA,NA,97,2850-57583,2022-05-28,5,19,2850-57583,2022-06-20,4,NA,,NA,NA,NA,,NA,NA,12.65077601,0.531237153,675.7903333,25377.45667,16.92662014,0.501144529,627.3723333,33954.8,19.27879528,0.490091496,643.7406667,38673.26333,19.52571951,0.519492939,627.6863333,39168.59333,2022,148,171,NA,NA,119.8333333,97,96.5,97,0.874898342,-0.270540181,-1.192630046,-0.710171409,-0.311527629
2850-57620,Colorado Horse Rescue,M,2022-06-17,121,121,121,Y,Y,84,84,84,87,87,87,18.2,NA,NA,NA,NA,39,2850-57649,2022-05-31,4,39.2,2850-57649,2022-07-19,4,NA,,NA,NA,NA,,NA,NA,8.903889997,0.510576941,627.6863333,17861.20333,21.60838485,0.492100236,611.004,43346.42,22.72290794,0.464821292,611.004,45582.15333,21.84048023,0.466018925,627.6863333,43812.00333,2022,151,200,NA,NA,121,87,84,87,-0.319841926,-1.233103317,-0.235554934,0.186674306,0.146164302
2850-57646,Colorado Horse Rescue,M,2022-06-17,118,118,118,Y,Y,92,92,92,93,93,92.5,16.25,NA,NA,NA,NA,54,UNB,2022-05-30,4,54.2,UNB,2022-07-05,4,NA,,NA,NA,NA,,NA,NA,13.03330675,0.528831228,643.4266667,26144.81333,26.90904786,0.469821451,644.3686667,53979.55,19.32819043,0.479649254,644.0546667,38772.35,18.83622466,0.47315671,660.423,37785.46667,2022,150,186,NA,NA,118,92.83333333,92,92.83333333,0.377089897,-0.172269247,0.848039173,-0.697308929,-0.447859746
2850-57647,Colorado Horse Rescue,M,2022-06-17,122,122,122.5,Y,Y,87.5,87.5,87,86,85.5,86,15.8,NA,NA,NA,NA,112,2850-57879,2022-06-05,5,112.2,2850-57879,2022-07-29,5,NA,,NA,NA,NA,,NA,NA,12.89783981,0.543297932,643.7406667,25873.06667,28.1838767,0.473800388,617.439,56536.85667,25.45478232,0.436115595,638.1653333,51062.29333,20.55910934,0.502370676,626.097,41241.57333,2022,156,210,NA,NA,122.1666667,85.83333333,87.33333333,85.83333333,-0.459228291,-0.207070274,1.108647518,0.898053426,-0.107198005
2850-57653,Colorado Horse Rescue,M,2022-06-17,119.5,119,119.5,Y,Y,76,76,77,78,78,78,16.37,NA,NA,NA,NA,86,2850-57588,2022-05-31,4,45,2850-57588,2022-07-03,5,NA,,NA,NA,NA,,NA,NA,8.467490861,0.535457505,660.1716667,16985.78667,27.15053506,0.465647634,659.167,54463.97333,21.8547225,0.470898637,665.8,43840.57333,15.40861914,0.497215455,659.167,30909.69,2022,151,184,NA,NA,119.3333333,78,76.33333333,78,-1.395108167,-1.345212871,0.89740547,-0.039400874,-1.125591736
2850-57657,Colorado Horse Rescue,M,2022-06-17,117,117,117.5,Y,Y,81,81,81,81,81.5,81.5,16.32,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,18.2992456,0.481478866,659.167,36708.28667,28.51057827,0.488325244,659.167,57192.22,21.68293287,0.481288685,659.167,43495.96333,17.9373679,0.488218746,659.167,35982.36,2022,NA,NA,NA,NA,117.1666667,81.33333333,81,81.33333333,-0.996861411,1.180533746,1.175433861,-0.084134833,-0.625588477
2850-57669,Colorado Horse Rescue,M,2022-06-28,124,123.5,124,Y,Y,90,90,90,89.5,89.5,90,17.82,NA,NA,NA,NA,33,2850-57586,2022-05-31,5,33.2,2850-57586,2022-07-06,1,149,2850-57586,2022-07-24,5,NA,,NA,NA,14.07982054,0.504204618,611.004,28244.12,27.72719176,0.47617904,611.004,55620.74667,17.24374875,0.494612283,611.004,34590.96,18.57412762,0.508699718,611.004,37259.7,2022,151,187,205,NA,123.8333333,89.66666667,90,89.66666667,-0.001244521,0.096576828,1.015289177,-1.240096804,-0.499683547
2850-57671,Colorado Horse Rescue,M,2022-06-28,118,118,117.5,Y,N,83.5,83,83,75.5,76,76,17.53,NA,NA,NA,NA,73,2850-57670,2022-06-04,5,,,NA,NA,NA,,NA,NA,NA,,NA,NA,16.28350449,0.48181303,667.733,32664.71,28.84180791,0.479499655,593.4133333,57856.66667,23.68146062,0.459973843,641.034,47505.01,25.7482569,0.475226128,607.0326667,51651.00333,2022,155,NA,NA,NA,117.8333333,75.83333333,83.16666667,75.83333333,-1.653968559,0.662696247,1.24314586,0.436281084,0.91883935
2850-57731,Colorado Horse Rescue,M,2022-06-17,119,119,119,Y,Y,92,92,93,91,91,91,15.9,NA,NA,NA,NA,32,2640-97358,2022-05-13,5,109,2640-97358,2022-07-01,4,32.2,2640-97358,2022-08-11,3,NA,,NA,NA,10.9634214,0.500436597,689.138,21992.62333,23.24545364,0.49159359,611.004,46630.38,18.5751562,0.456752009,611.004,37261.76333,24.60593387,0.474122334,611.004,49359.50333,2022,133,182,223,NA,119,91,92.33333333,91,0.158054181,-0.70401623,0.099104729,-0.893398776,0.692970633
2850-57733,Colorado Horse Rescue,M,2022-06-17,121.5,121.5,122,Y,N,102,102,102,NA,NA,NA,15.66,NA,NA,NA,NA,11,UNB,2022-06-25,4,101,2870-64908,2022-08-10,4,NA,,NA,NA,NA,,NA,NA,14.84394317,0.488091858,680.0823333,29776.95,20.45213858,0.480742509,611.004,41026.99,22.3788767,0.481773003,627.3723333,44892.02667,18.61630941,0.474711747,611.004,37344.31667,2022,176,222,NA,NA,121.6666667,NA,102,102,1.472268476,0.292877508,-0.471921902,0.097088693,-0.491343046
2850-57742,Colorado Horse Rescue,M,2022-06-17,118,118,118,Y,Y,92,92,92,93,93,93,16.98,18.49,2022-07-21,NA,NA,110,2850-57846,2022-05-21,4,52,2850-57846,2022-07-06,5,NA,,NA,NA,NA,,NA,NA,13.00562645,0.511030769,671.763,26089.28667,26.1463443,0.49002744,625.0783333,52449.56667,26.30566135,0.456120566,609.081,52769.15667,22.8044882,0.51172569,659.167,45745.80333,2022,141,187,NA,NA,118,93,92,93,0.397002235,-0.179380228,0.692122624,1.119622024,0.336775222
2850-57743,Colorado Horse Rescue,M,2022-06-17,117.5,117.5,117,Y,Y,86,86,86,84,84,84,16.44,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,10.59569791,0.535140524,675.6973333,21254.97,22.84660186,0.475908452,646.0376667,45830.28333,19.9272549,0.460795053,621.471,39974.07333,18.60491858,0.482220206,672.433,37321.46667,2022,NA,NA,NA,NA,117.3333333,84,86,84,-0.678264006,-0.798483228,0.017568997,-0.541312754,-0.493595327
2850-57744,Colorado Horse Rescue,M,2022-06-17,116,116,116,N,Y,NA,NA,NA,84.5,84.5,84.5,14.77,NA,NA,NA,NA,78,2850-57656,2022-06-08,5,,,NA,NA,NA,,NA,NA,NA,,NA,NA,24.63866733,0.441897015,611.004,49425.16667,20.45419575,0.491736389,610.6836667,41031.11667,20.25567464,0.470934773,627.6863333,40632.88333,16.45550847,0.489979153,643.7406667,33009.75,2022,159,NA,NA,NA,116,84.5,NA,84.5,-0.618526993,2.809111087,-0.471501362,-0.45579237,-0.918592889
2850-57745,Colorado Horse Rescue,M,2022-06-17,118,118,118,Y,Y,86,86,86,85,85,85,16.33,NA,NA,NA,NA,82,2850-57655,2022-05-26,5,115,2850-57655,2022-06-30,3,NA,,NA,NA,NA,,NA,NA,11.89491525,0.520998035,667.1156667,23861.2,19.28173812,0.496153459,634.065,38679.16667,21.88407444,0.484884869,657.7393333,43899.45333,26.3850565,0.474305256,645.4026667,52928.42333,2022,146,181,NA,NA,118,85,86,85,-0.558789979,-0.464718413,-0.711182356,-0.03175764,1.044752165
2850-57806,Colorado Horse Rescue,M,2022-06-17,120,120,120.5,Y,Y,86,86,86,83.5,84,84,15.88,16.36,2022-07-11,NA,NA,37,2850-57735,2022-05-18,5,96,2850-57568,2022-05-18,5,119,2850-57735,2022-07-09,4,96.2,2850-57568,2022-07-10,5,11.25502825,0.516086951,669.4676667,22577.58667,14.26422898,0.518970434,659.167,28614.04333,18.0460319,0.470292612,659.167,36200.34,17.57589232,0.493413321,659.167,35257.24,2022,138,138,190,191,120.1666667,83.83333333,86,83.83333333,-0.698176344,-0.629103355,-1.736892408,-1.031182556,-0.697062152
2850-57808,Colorado Horse Rescue,M,2022-08-07,120.5,120.5,120.5,Y,N,100,100,100,NA,NA,NA,17.44,NA,NA,NA,NA,29,2640-97331,2022-05-18,5,27,2640-97331,2022-07-05,4,NA,,NA,NA,NA,,NA,NA,11.46748421,0.514088925,678.7753333,23003.77333,15.37756564,0.515459018,659.167,30847.39667,20.6164008,0.49573159,641.3963333,41356.5,18.7548222,0.472216787,642.151,37622.17333,2022,138,186,NA,NA,120.5,NA,100,100,1.233320423,-0.574524092,-1.509297287,-0.361859406,-0.463955253
2850-57880,Colorado Horse Rescue,M,2022-06-17,121,121,121.5,Y,Y,101,101,100.5,101.5,102,102,16.81,NA,NA,NA,NA,139,2850-57571,2022-06-18,4,,,NA,NA,NA,,NA,NA,NA,,NA,NA,18.64706215,0.524478259,611.004,37406.00667,29.39281489,0.44544361,631.6946667,58961.98667,28.58826853,0.411459377,627.6863333,57348.06667,27.28634098,0.464295077,611.004,54736.4,2022,169,NA,NA,NA,121.1666667,101.8333333,100.8333333,101.8333333,1.452356134,1.269886715,1.355786092,1.714012124,1.222960924
2850-57881,Colorado Horse Rescue,M,2022-06-17,120,119.5,119.5,Y,Y,86,85.5,86,85,85,84.5,16.55,NA,NA,NA,NA,25,2850-57650,2022-05-23,6,95,2850-57650,2022-07-19,4,NA,,NA,NA,NA,,NA,NA,11.73463277,0.535560863,644.7453333,23539.67333,21.93833167,0.494146676,611.004,44008.29333,26.56095214,0.438684751,643.7343333,53281.27,31.59365071,0.464706779,610.6836667,63376.86333,2022,143,200,NA,NA,119.6666667,84.83333333,85.83333333,84.83333333,-0.578702318,-0.505894474,-0.168105177,1.186099655,2.074634658
2870-64907,Colorado Horse Rescue,M,2022-08-07,119,119,119,Y,Y,90,90,90,89,89,89.5,14.88,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,18.72090728,0.475154697,623.4076667,37554.14,20.8235776,0.481517429,627.39,41772.09667,20.51249252,0.468005265,610.363,41148.06,20.89599036,0.465337989,598.364,41917.35667,2022,NA,NA,NA,NA,119,89.16666667,90,89.16666667,-0.060981534,1.288857295,-0.395990055,-0.388917085,-0.040587351
