"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest.._ind1","Brood.._ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest.._ind2","Brood.._ind2","clutch_id_ind2"
"CO_57659","CO_33632",0.976,0.02,0.005,0.014,57505,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33632","CHR","kid","CHR-037",119,2,"CHR_119_2"
"CO_57659","CO_83125",0.981,0.012,0.007,0.013,61179,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83125","CHR","kid","CHR-039",39,1,"CHR_39_1"
"CO_57659","CO_83123",0.986,0.013,0.001,0.008,52842,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83123","CHR","kid","CHR-039",39,1,"CHR_39_1"
"CO_57659","CO_83124",0.978,0.016,0.005,0.013,52048,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83124","CHR","kid","CHR-039",39,1,"CHR_39_1"
"CO_57659","CO_83342",0.982,0.012,0.007,0.013,56427,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83342","CHR","kid","CHR-039",39,2,"CHR_39_2"
"CO_57659","CO_83122",0.98,0.02,0,0.01,55621,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83122","CHR","kid","CHR-039",39,1,"CHR_39_1"
"CO_57659","CO_83263",0.987,0.013,0.001,0.007,50879,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83263","CHR","kid","CHR-043",43,1,"CHR_43_1"
"CO_57659","CO_83343",0.987,0.012,0.001,0.007,58964,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83343","CHR","kid","CHR-039",39,2,"CHR_39_2"
"CO_57659","CO_83344",0.978,0.02,0.003,0.012,54163,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83344","CHR","kid","CHR-039",39,2,"CHR_39_2"
"CO_57659","CO_83262",0.978,0.021,0.002,0.012,59519,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83262","CHR","kid","CHR-043",43,1,"CHR_43_1"
