"SeqID","Band","Site","Type","FamilyID","Nest","Brood","clutchID"
"CO_83430","2811-83430","CHR","kid","CHR-078",78,1,"CHR_78_1"
"CO_83431","2811-83431","CHR","kid","CHR-078",78,1,"CHR_78_1"
"CO_83118","2811-83118","CHR","kid","CHR-080",80,1,"CHR_80_1"
"CO_83119","2811-83119","CHR","kid","CHR-080",80,1,"CHR_80_1"
"CO_83120","2811-83120","CHR","kid","CHR-080",80,1,"CHR_80_1"
"CO_83121","2811-83121","CHR","kid","CHR-080",80,1,"CHR_80_1"
"CO_83074","2811-83074","CHR","kid","CHR-093",93,1,"CHR_93_1"
"CO_83075","2811-83075","CHR","kid","CHR-093",93,1,"CHR_93_1"
"CO_83076","2811-83076","CHR","kid","CHR-093",93,1,"CHR_93_1"
"CO_83077","2811-83077","CHR","kid","CHR-093",93,1,"CHR_93_1"
"CO_83078","2811-83078","CHR","kid","CHR-093",93,1,"CHR_93_1"
"CO_34071","2881-34071","CHR","kid","CHR-093",93,2,"CHR_93_2"
"CO_34072","2881-34072","CHR","kid","CHR-093",93,2,"CHR_93_2"
"CO_34073","2881-34073","CHR","kid","CHR-093",93,2,"CHR_93_2"
"CO_34074","2881-34074","CHR","kid","CHR-093",93,2,"CHR_93_2"
"CO_83301","2811-83301","CHR","kid","CHR-096",96,1,"CHR_96_1"
"CO_83302","2811-83302","CHR","kid","CHR-096",96,1,"CHR_96_1"
"CO_83304","2811-83304","CHR","kid","CHR-096",96,1,"CHR_96_1"
"CO_83320","2811-83320","CHR","kid","CHR-096",96,2,"CHR_96_2"
"CO_83321","2811-83321","CHR","kid","CHR-096",96,2,"CHR_96_2"
"CO_83322","2811-83322","CHR","kid","CHR-096",96,2,"CHR_96_2"
"CO_T001","T001","CHR","kid","CHR-096",96,1,"CHR_96_1"
"CO_33681","2881-33681","CHR","kid","CHR-097",19,2,"CHR_19_2"
"CO_33682","2881-33682","CHR","kid","CHR-097",19,2,"CHR_19_2"
"CO_33683","2881-33683","CHR","kid","CHR-097",19,2,"CHR_19_2"
"CO_34017","2881-34017","CHR","kid","CHR-097",97,1,"CHR_97_1"
"CO_34018","2881-34018","CHR","kid","CHR-097",97,1,"CHR_97_1"
"CO_34019","2881-34019","CHR","kid","CHR-097",97,1,"CHR_97_1"
