"","Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest.._ind1","Brood.._ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest.._ind2","Brood.._ind2","clutch_id_ind2"
"6021","CO_57881","CO_83244",0.348,0.471,0.181,0.417,47439,"2850-57881","CHR","dad","CHR-025",NA,NA,NA,"2811-83244","CHR","kid","CHR-025",25,1,"CHR_25_1"
"6023","CO_57881","CO_83241",0.313,0.544,0.143,0.415,51588,"2850-57881","CHR","dad","CHR-025",NA,NA,NA,"2811-83241","CHR","kid","CHR-025",25,1,"CHR_25_1"
"6489","CO_57808","CO_34096",0.224,0.689,0.087,0.431,59521,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"2881-34096","CHR","kid","CHR-029",27,2,"CHR_27_2"
"6490","CO_57808","CO_83243",0.273,0.623,0.104,0.415,56747,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"2811-83243","CHR","kid","CHR-025",25,1,"CHR_25_1"
"6498","CO_57808","CO_34095",0.241,0.673,0.086,0.422,58080,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"2881-34095","CHR","kid","CHR-029",27,2,"CHR_27_2"
"6499","CO_57808","CO_34003",0.303,0.573,0.124,0.411,53641,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"2881-34003","CHR","kid","CHR-029",29,1,"CHR_29_1"
"6501","CO_57808","CO_34004",0.282,0.605,0.113,0.416,52294,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"2881-34004","CHR","kid","CHR-029",29,1,"CHR_29_1"
"6502","CO_57808","CO_83097",0.325,0.536,0.139,0.407,52496,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"2811-83097","CHR","kid","CHR-037",37,1,"CHR_37_1"
"6508","CO_57808","CO_83064",0.305,0.563,0.131,0.413,52893,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"2811-83064","CHR","kid","CHR-032",32,1,"CHR_32_1"
"6513","CO_57808","CO_34094",0.289,0.581,0.13,0.421,49062,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"2881-34094","CHR","kid","CHR-029",27,2,"CHR_27_2"
