"Ind2","Ind1","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest.._ind1","Brood.._ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest.._ind2","Brood.._ind2","clutch_id_ind2"
"CO_33643","CO_57572",0.306,0.57,0.124,0.409,58281,"2850-57572","Blue Cloud","mom","BlueCloud-05",NA,NA,NA,"2881-33643","Blue Cloud","kid","BlueCloud-05",5,2,"Blue Cloud_5_2"
"CO_33644","CO_57901",0.337,0.492,0.171,0.417,49260,"2850-57901","Blue Cloud","dad","BlueCloud-05",NA,NA,NA,"2881-33644","Blue Cloud","kid","BlueCloud-05",5,2,"Blue Cloud_5_2"
"CO_33644","CO_57572",0.335,0.494,0.171,0.418,54556,"2850-57572","Blue Cloud","mom","BlueCloud-05",NA,NA,NA,"2881-33644","Blue Cloud","kid","BlueCloud-05",5,2,"Blue Cloud_5_2"
"CO_33645","CO_57901",0.329,0.522,0.148,0.409,50633,"2850-57901","Blue Cloud","dad","BlueCloud-05",NA,NA,NA,"2881-33645","Blue Cloud","kid","BlueCloud-05",5,2,"Blue Cloud_5_2"
"CO_33645","CO_57572",0.318,0.535,0.147,0.415,56022,"2850-57572","Blue Cloud","mom","BlueCloud-05",NA,NA,NA,"2881-33645","Blue Cloud","kid","BlueCloud-05",5,2,"Blue Cloud_5_2"
"CO_33646","CO_57518",0.284,0.607,0.109,0.412,61256,"2850-57518","Make Believe","dad","MakeBelieve-14",NA,NA,NA,"2881-33646","Make Believe","kid","MakeBelieve-14",69,2,"Make Believe_69_2"
"CO_33646","CO_57576",0.271,0.634,0.095,0.412,66897,"2850-57576","Make Believe","mom","MakeBelieve-14",NA,NA,NA,"2881-33646","Make Believe","kid","MakeBelieve-14",69,2,"Make Believe_69_2"
"CO_33647","CO_57518",0.282,0.592,0.127,0.422,55934,"2850-57518","Make Believe","dad","MakeBelieve-14",NA,NA,NA,"2881-33647","Make Believe","kid","MakeBelieve-14",69,2,"Make Believe_69_2"
"CO_33647","CO_57576",0.279,0.626,0.095,0.408,61011,"2850-57576","Make Believe","mom","MakeBelieve-14",NA,NA,NA,"2881-33647","Make Believe","kid","MakeBelieve-14",69,2,"Make Believe_69_2"
"CO_33648","CO_83207",0.342,0.474,0.184,0.421,50166,"2811-83207","Dome House","mom","DomeHouse-01",NA,NA,NA,"2881-33648","Dome House","kid","DomeHouse-01",2,2,"Dome House_2_2"
"CO_33650","CO_83207",0.326,0.51,0.165,0.419,51334,"2811-83207","Dome House","mom","DomeHouse-01",NA,NA,NA,"2881-33650","Dome House","kid","DomeHouse-01",2,2,"Dome House_2_2"
"CO_33655","CO_57731",0.253,0.648,0.099,0.423,58660,"2850-57731","CHR","dad","CHR-032",NA,NA,NA,"2881-33655","CHR","kid","CHR-025",95,2,"CHR_95_2"
"CO_33655","CO_57650",0.26,0.655,0.085,0.412,64245,"2850-57650","CHR","mom","CHR-025",NA,NA,NA,"2881-33655","CHR","kid","CHR-025",95,2,"CHR_95_2"
"CO_33656","CO_57881",0.293,0.582,0.126,0.417,57620,"2850-57881","CHR","dad","CHR-025",NA,NA,NA,"2881-33656","CHR","kid","CHR-025",95,2,"CHR_95_2"
"CO_33656","CO_57650",0.261,0.641,0.098,0.418,64478,"2850-57650","CHR","mom","CHR-025",NA,NA,NA,"2881-33656","CHR","kid","CHR-025",95,2,"CHR_95_2"
"CO_33657","CO_57881",0.273,0.61,0.117,0.422,54781,"2850-57881","CHR","dad","CHR-025",NA,NA,NA,"2881-33657","CHR","kid","CHR-025",95,2,"CHR_95_2"
"CO_33657","CO_57650",0.295,0.57,0.135,0.42,61151,"2850-57650","CHR","mom","CHR-025",NA,NA,NA,"2881-33657","CHR","kid","CHR-025",95,2,"CHR_95_2"
"CO_33658","CO_57573",0.308,0.563,0.129,0.41,64463,"2850-57573","Cooks","dad","Cooks-31",NA,NA,NA,"2881-33658","Cooks","kid","Cooks-31",14,2,"Cook's_14_2"
"CO_33658","CO_57663",0.223,0.712,0.065,0.421,69456,"2850-57663","Cooks","mom","Cooks-31",NA,NA,NA,"2881-33658","Cooks","kid","Cooks-31",14,2,"Cook's_14_2"
"CO_33659","CO_57573",0.299,0.582,0.119,0.41,60097,"2850-57573","Cooks","dad","Cooks-31",NA,NA,NA,"2881-33659","Cooks","kid","Cooks-31",14,2,"Cook's_14_2"
"CO_33659","CO_57663",0.234,0.674,0.092,0.429,64672,"2850-57663","Cooks","mom","Cooks-31",NA,NA,NA,"2881-33659","Cooks","kid","Cooks-31",14,2,"Cook's_14_2"
"CO_33660","CO_57573",0.314,0.558,0.128,0.407,57670,"2850-57573","Cooks","dad","Cooks-31",NA,NA,NA,"2881-33660","Cooks","kid","Cooks-31",14,2,"Cook's_14_2"
"CO_33660","CO_57663",0.276,0.609,0.115,0.419,62142,"2850-57663","Cooks","mom","Cooks-31",NA,NA,NA,"2881-33660","Cooks","kid","Cooks-31",14,2,"Cook's_14_2"
"CO_33661","CO_57573",0.353,0.488,0.159,0.403,57575,"2850-57573","Cooks","dad","Cooks-31",NA,NA,NA,"2881-33661","Cooks","kid","Cooks-31",14,2,"Cook's_14_2"
"CO_33661","CO_57663",0.245,0.648,0.107,0.431,61970,"2850-57663","Cooks","mom","Cooks-31",NA,NA,NA,"2881-33661","Cooks","kid","Cooks-31",14,2,"Cook's_14_2"
"CO_33662","CO_57668",0.285,0.581,0.134,0.424,58232,"2850-57668","Make Believe","dad","MakeBelieve-38",NA,NA,NA,"2881-33662","Make Believe","kid","MakeBelieve-38",38,2,"Make Believe_38_2"
"CO_33662","CO_57635",0.272,0.586,0.141,0.434,61416,"2850-57635","Make Believe","mom","MakeBelieve-38",NA,NA,NA,"2881-33662","Make Believe","kid","MakeBelieve-38",38,2,"Make Believe_38_2"
"CO_33663","CO_21085",0.342,0.501,0.156,0.407,55766,"2350-21085","Make Believe","dad","MakeBelieve-73",NA,NA,NA,"2881-33663","Make Believe","kid","MakeBelieve-38",38,2,"Make Believe_38_2"
"CO_33663","CO_57635",0.276,0.596,0.128,0.426,56774,"2850-57635","Make Believe","mom","MakeBelieve-38",NA,NA,NA,"2881-33663","Make Believe","kid","MakeBelieve-38",38,2,"Make Believe_38_2"
"CO_33664","CO_21085",0.324,0.541,0.135,0.405,58801,"2350-21085","Make Believe","dad","MakeBelieve-73",NA,NA,NA,"2881-33664","Make Believe","kid","MakeBelieve-38",38,2,"Make Believe_38_2"
"CO_33664","CO_57635",0.267,0.626,0.107,0.42,60124,"2850-57635","Make Believe","mom","MakeBelieve-38",NA,NA,NA,"2881-33664","Make Believe","kid","MakeBelieve-38",38,2,"Make Believe_38_2"
"CO_33665","CO_21085",0.295,0.604,0.101,0.403,62653,"2350-21085","Make Believe","dad","MakeBelieve-73",NA,NA,NA,"2881-33665","Make Believe","kid","MakeBelieve-38",38,2,"Make Believe_38_2"
"CO_33665","CO_57635",0.249,0.659,0.092,0.422,64019,"2850-57635","Make Believe","mom","MakeBelieve-38",NA,NA,NA,"2881-33665","Make Believe","kid","MakeBelieve-38",38,2,"Make Believe_38_2"
"CO_33666","CO_57873",0.28,0.587,0.133,0.427,50664,"2850-57873","Make Believe","dad","MakeBelieve-26",NA,NA,NA,"2881-33666","Make Believe","kid","MakeBelieve-26",48,2,"Make Believe_48_2"
"CO_33666","CO_57872",0.263,0.613,0.124,0.43,59009,"2850-57872","Make Believe","mom","MakeBelieve-26",NA,NA,NA,"2881-33666","Make Believe","kid","MakeBelieve-26",48,2,"Make Believe_48_2"
"CO_33667","CO_57873",0.293,0.583,0.123,0.415,50556,"2850-57873","Make Believe","dad","MakeBelieve-26",NA,NA,NA,"2881-33667","Make Believe","kid","MakeBelieve-26",48,2,"Make Believe_48_2"
