"Ind2","Ind1","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest.._ind1","Brood.._ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest.._ind2","Brood.._ind2","clutch_id_ind2"
"CO_33663","CO_21085",0.342,0.501,0.156,0.407,55766,"2350-21085","Make Believe","dad","MakeBelieve-73",NA,NA,NA,"2881-33663","Make Believe","kid","MakeBelieve-38",38,2,"Make Believe_38_2"
"CO_33664","CO_21085",0.324,0.541,0.135,0.405,58801,"2350-21085","Make Believe","dad","MakeBelieve-73",NA,NA,NA,"2881-33664","Make Believe","kid","MakeBelieve-38",38,2,"Make Believe_38_2"
"CO_33665","CO_21085",0.295,0.604,0.101,0.403,62653,"2350-21085","Make Believe","dad","MakeBelieve-73",NA,NA,NA,"2881-33665","Make Believe","kid","MakeBelieve-38",38,2,"Make Believe_38_2"
"CO_33677","CO_57581",0.295,0.565,0.14,0.423,61679,"2850-57581","CHR","dad","CHR-066",NA,NA,NA,"2881-33677","CHR","kid","CHR-074",6,2,"CHR_6_2"
"CO_33678","CO_57581",0.26,0.645,0.095,0.417,63564,"2850-57581","CHR","dad","CHR-066",NA,NA,NA,"2881-33678","CHR","kid","CHR-074",6,2,"CHR_6_2"
"CO_33679","CO_57582",0.293,0.584,0.123,0.415,62121,"2850-57582","CHR","dad","CHR-148",NA,NA,NA,"2881-33679","CHR","kid","CHR-074",6,2,"CHR_6_2"
"CO_33679","CO_57582",0.293,0.584,0.123,0.415,62121,"2850-57582","CHR","dad","CHR-148",NA,NA,NA,"2881-33679","CHR","kid","CHR-074",6,2,"CHR_6_2"
"CO_33696","CO_57582",0.309,0.512,0.179,0.435,56694,"2850-57582","CHR","dad","CHR-074",NA,NA,NA,"2881-33696","CHR","kid","CHR-148",148,2,"CHR_148_2"
"CO_33696","CO_57582",0.309,0.512,0.179,0.435,56694,"2850-57582","CHR","dad","CHR-074",NA,NA,NA,"2881-33696","CHR","kid","CHR-148",148,2,"CHR_148_2"
"CO_33697","CO_57582",0.261,0.624,0.115,0.427,50257,"2850-57582","CHR","dad","CHR-074",NA,NA,NA,"2881-33697","CHR","kid","CHR-148",148,2,"CHR_148_2"
"CO_33697","CO_57582",0.261,0.624,0.115,0.427,50257,"2850-57582","CHR","dad","CHR-074",NA,NA,NA,"2881-33697","CHR","kid","CHR-148",148,2,"CHR_148_2"
"CO_33698","CO_57582",0.277,0.577,0.146,0.435,51275,"2850-57582","CHR","dad","CHR-074",NA,NA,NA,"2881-33698","CHR","kid","CHR-148",148,2,"CHR_148_2"
"CO_33698","CO_57582",0.277,0.577,0.146,0.435,51275,"2850-57582","CHR","dad","CHR-074",NA,NA,NA,"2881-33698","CHR","kid","CHR-148",148,2,"CHR_148_2"
"CO_33699","CO_57582",0.329,0.504,0.167,0.419,51963,"2850-57582","CHR","dad","CHR-074",NA,NA,NA,"2881-33699","CHR","kid","CHR-148",148,2,"CHR_148_2"
"CO_33699","CO_57582",0.329,0.504,0.167,0.419,51963,"2850-57582","CHR","dad","CHR-074",NA,NA,NA,"2881-33699","CHR","kid","CHR-148",148,2,"CHR_148_2"
"CO_34001","CO_97588",0.3,0.578,0.122,0.411,55835,"2640-97588","CHR","dad","CHR-093",NA,NA,NA,"2881-34001","CHR","kid","CHR-029",29,1,"CHR_29_1"
"CO_34002","CO_97588",0.279,0.633,0.088,0.404,60082,"2640-97588","CHR","dad","CHR-093",NA,NA,NA,"2881-34002","CHR","kid","CHR-029",29,1,"CHR_29_1"
"CO_34012","CO_57751",0.281,0.585,0.134,0.427,59096,"2850-57751","Jay's","dad","Jays-01",NA,NA,NA,"2881-34012","Blue Cloud","kid","BlueCloud-04",4,1,"Blue Cloud_4_1"
"CO_34013","CO_57751",0.27,0.615,0.115,0.422,54875,"2850-57751","Jay's","dad","Jays-01",NA,NA,NA,"2881-34013","Blue Cloud","kid","BlueCloud-04",4,1,"Blue Cloud_4_1"
"CO_34014","CO_57733",0.275,0.608,0.118,0.421,57757,"2850-57733","CHR","dad","CHR-011",NA,NA,NA,"2881-34014","CHR","kid","CHR-066",66,1,"CHR_66_1"
"CO_34015","CO_57733",0.288,0.594,0.117,0.415,56755,"2850-57733","CHR","dad","CHR-011",NA,NA,NA,"2881-34015","CHR","kid","CHR-066",66,1,"CHR_66_1"
"CO_34022","CO_57808",0.23,0.701,0.068,0.419,57836,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"2881-34022","CHR","kid","CHR-058",58,1,"CHR_58_1"
"CO_34023","CO_57880",0.308,0.54,0.152,0.422,54097,"2850-57880","CHR","dad","CHR-139",NA,NA,NA,"2881-34023","CHR","kid","CHR-058",58,1,"CHR_58_1"
"CO_34024","CO_57808",0.256,0.66,0.083,0.414,60383,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"2881-34024","CHR","kid","CHR-058",58,1,"CHR_58_1"
"CO_34029","CO_57577",0.247,0.66,0.094,0.424,67005,"2850-57577","CHR","dad","CHR-128",NA,NA,NA,"2881-34029","CHR","kid","CHR-073",73,1,"CHR_73_1"
"CO_34055","CO_57633",0.322,0.544,0.134,0.406,60236,"2850-57633","Cooks","dad","Cooks-02",NA,NA,NA,"2881-34055","Cooks","kid","Cooks-29",8,2,"Cook's_8_2"
"CO_34057","CO_57633",0.319,0.53,0.151,0.416,58222,"2850-57633","Cooks","dad","Cooks-02",NA,NA,NA,"2881-34057","Cooks","kid","Cooks-29",8,2,"Cook's_8_2"
"CO_34074","CO_57653",0.277,0.589,0.134,0.429,54630,"2850-57653","CHR","dad","CHR-045",NA,NA,NA,"2881-34074","CHR","kid","CHR-093",93,2,"CHR_93_2"
"CO_34082","CO_57889",0.246,0.639,0.115,0.435,63299,"2850-57889","Mayas","dad","none",NA,NA,NA,"2881-34082","CHR","kid","CHR-045",45,2,"CHR_45_2"
"CO_34084","CO_57889",0.254,0.62,0.127,0.436,61736,"2850-57889","Mayas","dad","none",NA,NA,NA,"2881-34084","CHR","kid","CHR-045",45,2,"CHR_45_2"
"CO_34088","CO_57689",0.253,0.632,0.115,0.431,62216,"2850-57689","Boyer","dad","Boyer-05-07",NA,NA,NA,"2881-34088","Boyer","kid","Boyer-05",5,2,"Boyer's_5_2"
"CO_34088","CO_57685",0.25,0.646,0.104,0.427,60485,"2850-57685","Boyer","mom","Boyer-05-07",NA,NA,NA,"2881-34088","Boyer","kid","Boyer-05",5,2,"Boyer's_5_2"
"CO_34089","CO_57689",0.273,0.597,0.13,0.429,61218,"2850-57689","Boyer","dad","Boyer-05-07",NA,NA,NA,"2881-34089","Boyer","kid","Boyer-05",5,2,"Boyer's_5_2"
"CO_34089","CO_57685",0.314,0.549,0.137,0.412,59520,"2850-57685","Boyer","mom","Boyer-05-07",NA,NA,NA,"2881-34089","Boyer","kid","Boyer-05",5,2,"Boyer's_5_2"
"CO_34097","CO_57587",0.303,0.567,0.129,0.413,58015,"2850-57587","CHR","dad","none",NA,NA,NA,"2881-34097","CHR","kid","CHR-029",27,2,"CHR_27_2"
"CO_83064","CO_57808",0.305,0.563,0.131,0.413,52893,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"2811-83064","CHR","kid","CHR-032",32,1,"CHR_32_1"
"CO_83072","CO_57619",0.351,0.471,0.179,0.414,55407,"2850-57619","Reinarz","dad","none",NA,NA,NA,"2811-83072","Cooks","kid","Cooks-29",29,1,"Cook's_29_1"
"CO_83073","CO_57619",0.371,0.446,0.182,0.405,52762,"2850-57619","Reinarz","dad","none",NA,NA,NA,"2811-83073","Cooks","kid","Cooks-29",29,1,"Cook's_29_1"
