"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","band_ind1","site_ind1","nest_ind1","type_ind1","FamilyID_ind1","brood_ind1","clutchID_ind1","band_ind2","site_ind2","nest_ind2","type_ind2","FamilyID_ind2","brood_ind2","clutchID_ind2"
"CO_57572","CO_33905",0.987,0.011,0.002,0.007,51799,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33905","Boyer",3.2,"kid","Boyer-03","1","Boyer_3.2_1"
"CO_57572","CO_33904",0.988,0.012,0,0.006,67017,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33904","Boyer",3.2,"kid","Boyer-03","1","Boyer_3.2_1"
"CO_57572","CO_33906",0.983,0.016,0,0.008,61112,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33906","Cooks",17,"kid","Cooks-15","1","Cooks_17_1"
"CO_57572","CO_33903",0.987,0.013,0,0.007,64071,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33903","Boyer",3.2,"kid","Boyer-03","1","Boyer_3.2_1"
"CO_57572","CO_33907",0.992,0.008,0,0.004,57083,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33907","Cooks",17,"kid","Cooks-15","1","Cooks_17_1"
"CO_57572","CO_33908",0.985,0.015,0,0.008,60564,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33908","Cooks",17,"kid","Cooks-15","1","Cooks_17_1"
"CO_57572","CO_33911",0.99,0.01,0,0.005,60835,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33911","Cooks",36,"kid","Cooks-04","1","Cooks_36_1"
"CO_57572","CO_33909",0.986,0.014,0,0.007,63247,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33909","Cooks",17,"kid","Cooks-15","1","Cooks_17_1"
"CO_57572","CO_33912",0.992,0.008,0,0.004,62009,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33912","Cooks",36,"kid","Cooks-04","1","Cooks_36_1"
"CO_57572","CO_33910",0.983,0.017,0,0.009,65630,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33910","Cooks",17,"kid","Cooks-15","1","Cooks_17_1"
"CO_57572","CO_33914",0.991,0.008,0.001,0.005,54730,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33914","Cooks",36,"kid","Cooks-04","1","Cooks_36_1"
"CO_57572","CO_33915",0.988,0.006,0.006,0.009,63167,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33915","Cooks",36,"kid","Cooks-04","1","Cooks_36_1"
"CO_57572","CO_33913",0.991,0.009,0,0.005,60426,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33913","Cooks",36,"kid","Cooks-04","1","Cooks_36_1"
"CO_57572","CO_33926",0.307,0.597,0.095,0.394,59146,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33926","Blue Cloud",6.2,"kid","BlueCloud-06","1","Blue Cloud_6.2_1"
"CO_57572","CO_33921",0.988,0.002,0.01,0.011,59451,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33921","Make Believe",74.2,"kid","MakeBelieve-74","1","Make Believe_74.2_1"
"CO_57572","CO_33917",0.986,0.013,0,0.007,61172,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33917","Blue Cloud",18.2,"kid","BlueCloud-18","1","Blue Cloud_18.2_1"
"CO_57572","CO_33920",0.959,0.027,0.014,0.027,60397,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33920","Red Wagon",1,"kid","RedWagon-01","1","Red Wagon_1_1"
"CO_57572","CO_33918",0.987,0.013,0,0.007,65397,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33918","Blue Cloud",18.2,"kid","BlueCloud-18","1","Blue Cloud_18.2_1"
"CO_57572","CO_33925",0.993,0.006,0.001,0.004,68380,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33925","Boyer",2.2,"kid","Boyer-02","1","Boyer_2.2_1"
"CO_57572","CO_33919",0.985,0.014,0.001,0.008,56749,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33919","Blue Cloud",18.2,"kid","BlueCloud-18","1","Blue Cloud_18.2_1"
"CO_57572","CO_33924",0.989,0.01,0.001,0.006,65176,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33924","Make Believe",74.2,"kid","MakeBelieve-74","1","Make Believe_74.2_1"
"CO_57572","CO_33916",0.986,0.014,0,0.007,59227,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33916","Blue Cloud",18.2,"kid","BlueCloud-18","1","Blue Cloud_18.2_1"
"CO_57572","CO_33923",0.984,0.015,0.001,0.008,57104,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33923","Make Believe",74.2,"kid","MakeBelieve-74","1","Make Believe_74.2_1"
"CO_57572","CO_33922",0.978,0.022,0,0.011,63841,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33922","Make Believe",74.2,"kid","MakeBelieve-74","1","Make Believe_74.2_1"
"CO_57572","CO_33934",0.99,0.009,0.001,0.005,64883,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33934","Karens",1,"kid","Karens-01","1","Karens_1_1"
"CO_57572","CO_33932",0.99,0.009,0,0.005,62627,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33932","Karens",1,"kid","Karens-01","1","Karens_1_1"
"CO_57572","CO_33933",0.991,0.009,0,0.005,62885,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33933","Karens",1,"kid","Karens-01","1","Karens_1_1"
"CO_57572","CO_33935",0.99,0.009,0,0.005,57714,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33935","Karens",1,"kid","Karens-01","1","Karens_1_1"
"CO_57572","CO_33936",0.99,0.01,0,0.005,59919,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33936","Karens",1,"kid","Karens-01","1","Karens_1_1"
"CO_57572","CO_33938",0.99,0.01,0,0.005,62783,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33938","Make Believe",72,"kid","MakeBelieve-69","1","Make Believe_72_1"
"CO_57572","CO_33937",0.988,0.012,0,0.006,60618,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33937","Make Believe",72,"kid","MakeBelieve-69","1","Make Believe_72_1"
"CO_57572","CO_33931",0.294,0.6,0.106,0.406,62578,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33931","Blue Cloud",6.2,"kid","BlueCloud-06","1","Blue Cloud_6.2_1"
"CO_57572","CO_33939",0.992,0.008,0,0.004,61908,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33939","Make Believe",72,"kid","MakeBelieve-69","1","Make Believe_72_1"
"CO_57572","CO_33930",0.278,0.611,0.112,0.417,59848,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33930","Blue Cloud",6.2,"kid","BlueCloud-06","1","Blue Cloud_6.2_1"
"CO_57572","CO_33940",0.99,0.009,0,0.005,63493,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33940","Blue Cloud",4.2,"kid","BlueCloud-04","1","Blue Cloud_4.2_1"
"CO_57572","CO_33927",0.26,0.634,0.106,0.423,63033,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33927","Blue Cloud",6.2,"kid","BlueCloud-06","1","Blue Cloud_6.2_1"
"CO_57572","CO_33942",0.978,0.021,0.002,0.012,61694,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33942","Blue Cloud",4.2,"kid","BlueCloud-04","1","Blue Cloud_4.2_1"
"CO_57572","CO_33929",0.299,0.578,0.123,0.412,56610,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33929","Blue Cloud",6.2,"kid","BlueCloud-06","1","Blue Cloud_6.2_1"
